Obsidian Energy Price to Free Cash Flow Ratio Historical Data,Obsidian Energy Price to Free Cash Flow Ratio Historical Data,Obsidian Energy Price to Free Cash Flow Ratio Historical Data,Obsidian Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.83,,0.0
2024-12-31,5.79,$-0.62,0.0
2024-09-30,5.54,$-0.75,0.0
2024-06-30,7.48,$-0.53,0.0
2024-03-31,8.22,$0.32,26.04
2023-12-31,6.78,$0.53,12.91
2023-09-30,8.22,$0.65,12.66
2023-06-30,5.83,$0.59,9.88
2023-03-31,6.4,$1.13,5.65
2022-12-31,6.64,$1.25,5.3
2022-09-30,7.17,$1.16,6.16
2022-06-30,7.74,$0.99,7.83
2022-03-31,8.86,$0.42,20.92
2021-12-31,4.12,$0.59,6.94
2021-09-30,3.57,$0.40,8.92
2021-06-30,3.42,$0.49,6.95
2021-03-31,1.45,$0.29,4.93
2020-12-31,0.67,$0.23,2.95
2020-09-30,0.37,$0.39,0.95
2020-06-30,0.42,$0.14,2.91
2020-03-31,0.17,$0.01,13.5
2019-12-31,0.72,$-0.15,0.0
2019-09-30,0.84,$-0.56,0.0
2019-06-30,1.19,$-0.53,0.0
2019-03-31,1.93,$-0.81,0.0
2018-12-31,2.82,$-0.60,0.0
2018-09-30,6.65,$-0.27,0.0
2018-06-30,7.91,$-0.25,0.0
2018-03-31,6.85,$0.11,60.59
2017-12-31,8.68,$1.01,8.62
2017-09-30,7.35,$-0.12,0.0
2017-06-30,8.89,$-0.77,0.0
2017-03-31,11.9,$12.67,0.94
2016-12-31,12.39,$12.58,0.98
2016-09-30,12.67,$17.15,0.74
2016-06-30,9.73,$16.90,0.58
2016-03-31,6.51,$6.67,0.98
2015-12-31,5.85,$5.52,1.06
2015-09-30,3.15,$4.67,0.67
2015-06-30,11.91,$6.36,1.87
2015-03-31,11.31,$7.89,1.43
2014-12-31,14.19,$8.62,1.65
2014-09-30,43.54,$14.22,3.06
2014-06-30,61.82,$16.09,3.84
2014-03-31,52.25,$13.07,4.0
2013-12-31,51.47,$10.39,4.95
2013-09-30,67.47,$27.18,2.48
2013-06-30,63.36,$21.73,2.92
2013-03-31,62.91,$19.40,3.24
2012-12-31,60.58,$15.44,3.92
2012-09-30,77.49,$-5.13,0.0
2012-06-30,71.48,$-3.10,0.0
2012-03-31,102.32,$-4.62,0.0
2011-12-31,102.13,$-0.53,0.0
2011-09-30,75.17,$-8.75,0.0
2011-06-30,115.49,$-6.01,0.0
2011-03-31,136.94,$-2.36,0.0
2010-12-31,117.06,$8.04,14.55
2010-09-30,97.07,$17.84,5.44
2010-06-30,90.27,$19.70,4.58
2010-03-31,98.06,$20.65,4.75
2009-12-31,79.91,$15.84,5.04
