Coya Therapeutics Price to Free Cash Flow Ratio Historical Data,Coya Therapeutics Price to Free Cash Flow Ratio Historical Data,Coya Therapeutics Price to Free Cash Flow Ratio Historical Data,Coya Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.47,,0.0
2024-12-31,5.73,$-0.68,0.0
2024-09-30,6.45,$-0.74,0.0
2024-06-30,6.06,$-0.61,0.0
2024-03-31,9.92,$-0.61,0.0
2023-12-31,7.41,$-1.15,0.0
2023-09-30,3.84,$-3.93,0.0
