Paragon 28 Price to Free Cash Flow Ratio Historical Data,Paragon 28 Price to Free Cash Flow Ratio Historical Data,Paragon 28 Price to Free Cash Flow Ratio Historical Data,Paragon 28 Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.03,,0.0
2024-12-31,10.33,$-0.50,0.0
2024-09-30,6.68,$-0.69,0.0
2024-06-30,6.84,$-0.87,0.0
2024-03-31,12.35,$-1.03,0.0
2023-12-31,12.43,$-1.09,0.0
2023-09-30,12.55,$-1.09,0.0
2023-06-30,17.74,$-1.06,0.0
2023-03-31,17.07,$-1.01,0.0
2022-12-31,19.11,$-1.16,0.0
2022-09-30,17.82,$-1.29,0.0
