Artesian Resources Price to Free Cash Flow Ratio Historical Data,Artesian Resources Price to Free Cash Flow Ratio Historical Data,Artesian Resources Price to Free Cash Flow Ratio Historical Data,Artesian Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.36,,0.0
2024-09-30,36.85,$-0.56,0.0
2024-06-30,34.57,$-1.15,0.0
2024-03-31,36.23,$-1.95,0.0
2023-12-31,40.14,$-3.02,0.0
2023-09-30,40.39,$-3.80,0.0
2023-06-30,45.15,$-3.23,0.0
2023-03-31,52.66,$-3.42,0.0
2022-12-31,55.46,$-2.55,0.0
2022-09-30,45.32,$-1.09,0.0
2022-06-30,46.07,$-1.42,0.0
2022-03-31,45.22,$-1.21,0.0
2021-12-31,42.9,$-1.00,0.0
2021-09-30,35.12,$-1.36,0.0
2021-06-30,33.62,$-1.54,0.0
2021-03-31,35.77,$-0.84,0.0
2020-12-31,33.47,$-1.48,0.0
2020-09-30,30.89,$-2.06,0.0
2020-06-30,32.29,$-1.89,0.0
2020-03-31,33.02,$-2.40,0.0
2019-12-31,32.66,$-2.33,0.0
2019-09-30,32.25,$-2.16,0.0
2019-06-30,32.18,$-2.01,0.0
2019-03-31,32.05,$-1.86,0.0
2018-12-31,29.79,$-2.14,0.0
2018-09-30,31.21,$-1.77,0.0
2018-06-30,32.69,$-1.53,0.0
2018-03-31,30.57,$-1.26,0.0
2017-12-31,32.09,$-0.57,0.0
2017-09-30,31.27,$-0.32,0.0
2017-06-30,30.94,$-0.09,0.0
2017-03-31,26.6,$0.15,177.08
2016-12-31,25.89,$0.18,146.04
2016-09-30,22.95,$0.38,60.32
2016-06-30,27.09,$0.38,71.17
2016-03-31,22.15,$0.67,33.29
2015-12-31,21.78,$0.86,25.27
2015-09-30,18.81,$0.37,51.47
2015-06-30,16.27,$-0.02,0.0
2015-03-31,16.33,$-0.36,0.0
2014-12-31,17.08,$-0.59,0.0
2014-09-30,15.08,$-0.40,0.0
2014-06-30,16.66,$-0.07,0.0
2014-03-31,16.49,$0.17,96.47
2013-12-31,16.69,$-0.02,0.0
2013-09-30,16.03,$0.05,292.47
2013-06-30,15.9,$-0.03,0.0
2013-03-31,15.89,$-0.06,0.0
2012-12-31,15.72,$0.33,47.99
2012-09-30,16.14,$0.45,35.55
2012-06-30,14.83,$0.37,39.61
2012-03-31,12.8,$0.50,25.7
2011-12-31,12.7,$0.43,29.7
2011-09-30,11.69,$-0.03,0.0
2011-06-30,11.9,$-0.19,0.0
2011-03-31,12.75,$-0.20,0.0
2010-12-31,12.27,$-0.19,0.0
2010-09-30,12.23,$0.32,38.48
2010-06-30,11.72,$0.31,38.17
2010-03-31,11.1,$-0.09,0.0
2009-12-31,11.38,$-0.53,0.0
