Star Bulk Carriers Price to Free Cash Flow Ratio Historical Data,Star Bulk Carriers Price to Free Cash Flow Ratio Historical Data,Star Bulk Carriers Price to Free Cash Flow Ratio Historical Data,Star Bulk Carriers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.15,,2.59
2024-12-31,14.95,$6.62,2.26
2024-09-30,22.86,$7.23,3.16
2024-06-30,22.77,$7.08,3.22
2024-03-31,21.66,$7.21,3.0
2023-12-31,18.93,$5.75,3.29
2023-09-30,17.0,$5.13,3.31
2023-06-30,15.26,$5.32,2.87
2023-03-31,17.87,$5.82,3.07
2022-12-31,15.87,$7.26,2.19
2022-09-30,13.57,$8.11,1.67
2022-06-30,18.14,$8.58,2.11
2022-03-31,20.47,$7.67,2.67
2021-12-31,14.56,$6.28,2.32
2021-09-30,14.58,$4.85,3.01
2021-06-30,13.46,$3.13,4.3
2021-03-31,8.48,$1.49,5.7
2020-12-31,5.1,$1.02,4.99
2020-09-30,3.98,$-1.41,0.0
2020-06-30,3.81,$-0.48,0.0
2020-03-31,3.26,$-1.95,0.0
2019-12-31,6.78,$-2.15,0.0
2019-09-30,5.76,$-3.54,0.0
2019-06-30,5.52,$-4.65,0.0
2019-03-31,3.76,$-2.42,0.0
2018-12-31,5.23,$-2.06,0.0
2018-09-30,8.26,$-0.08,0.0
2018-06-30,7.35,$-0.09,0.0
2018-03-31,6.65,$-0.34,0.0
2017-12-31,6.44,$-0.73,0.0
2017-09-30,5.55,$0.79,7.06
2017-06-30,5.62,$-0.39,0.0
2017-03-31,6.79,$1.02,6.69
2016-12-31,2.92,$-0.70,0.0
2016-09-30,2.6,$-0.70,0.0
2016-06-30,1.69,$5.09,0.33
2016-03-31,2.14,$-1.62,0.0
2015-12-31,1.73,$0.60,2.88
2015-09-30,5.86,$0.73,7.99
2015-03-31,10.38,$-4.25,0.0
2014-12-31,18.75,$1.10,17.1
2014-09-30,31.5,$3.56,8.85
2014-06-30,37.08,$-3.80,0.0
2014-03-31,40.79,$1.74,23.5
2013-12-31,38.1,$9.74,3.91
2013-09-30,28.96,$6.26,4.63
2013-06-30,15.64,$13.47,1.16
2013-03-31,20.35,$14.46,1.41
2012-12-31,17.67,$17.61,1.0
2012-09-30,25.83,$97.86,0.26
2012-06-30,29.99,$42.26,0.71
2012-03-31,36.72,$53.62,0.68
2011-12-31,35.77,$53.42,0.67
2011-09-30,49.79,$18.69,2.66
2011-06-30,77.23,$95.52,0.81
2011-03-31,87.57,$102.38,0.86
2010-12-31,95.54,$107.28,0.89
2010-09-30,100.23,$70.90,1.41
2010-06-30,83.66,$70.14,1.19
2010-03-31,98.72,$66.78,1.48
2009-12-31,94.03,$81.12,1.16
