Diebold Nixdorf Price to Free Cash Flow Ratio Historical Data,Diebold Nixdorf Price to Free Cash Flow Ratio Historical Data,Diebold Nixdorf Price to Free Cash Flow Ratio Historical Data,Diebold Nixdorf Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,43.26,,14.77
2024-12-31,43.04,$2.93,14.7
2024-09-30,44.66,$1.97,22.66
2024-06-30,38.48,$-9.47,0.0
