Strata Skin Sciences Price to Free Cash Flow Ratio Historical Data,Strata Skin Sciences Price to Free Cash Flow Ratio Historical Data,Strata Skin Sciences Price to Free Cash Flow Ratio Historical Data,Strata Skin Sciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.66,,0.0
2024-09-30,2.75,$-0.51,0.0
2024-06-30,3.07,$-0.99,0.0
2024-03-31,3.78,$-1.27,0.0
2023-12-31,5.5,$-1.59,0.0
2023-09-30,5.95,$-1.93,0.0
2023-06-30,9.5,$-1.75,0.0
2023-03-31,10.59,$-1.79,0.0
2022-12-31,7.9,$-1.34,0.0
2022-09-30,8.71,$-1.04,0.0
2022-06-30,9.61,$-0.87,0.0
2022-03-31,14.7,$-0.75,0.0
2021-12-31,14.65,$-0.63,0.0
2021-09-30,18.4,$-0.60,0.0
2021-06-30,15.6,$-0.69,0.0
2021-03-31,16.7,$-0.37,0.0
2020-12-31,15.0,$-0.02,0.0
2020-09-30,13.5,$0.41,32.67
2020-06-30,11.5,$0.89,12.93
2020-03-31,9.5,$0.73,12.98
2019-12-31,20.8,$0.66,31.46
2019-09-30,21.5,$1.21,17.75
2019-06-30,24.9,$1.65,15.06
2019-03-31,28.5,$1.46,19.55
2018-12-31,26.0,$1.47,17.67
2018-09-30,35.4,$6.91,5.13
2018-06-30,20.5,$7.62,2.69
2018-03-31,11.7,$11.36,1.03
2017-12-31,12.3,$14.08,0.87
2017-09-30,17.7,$14.23,1.24
2017-06-30,24.3,$14.61,1.66
2017-03-31,30.25,$9.47,3.19
2016-12-31,22.0,$1.39,15.82
