DNOW Price to Free Cash Flow Ratio Historical Data,DNOW Price to Free Cash Flow Ratio Historical Data,DNOW Price to Free Cash Flow Ratio Historical Data,DNOW Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.33,,6.05
2024-12-31,13.01,$2.70,4.82
2024-09-30,12.93,$2.54,5.09
2024-06-30,13.73,$1.86,7.38
2024-03-31,15.2,$2.43,6.25
2023-12-31,11.32,$1.58,7.15
2023-09-30,11.87,$0.67,17.83
2023-06-30,10.36,$1.06,9.76
2023-03-31,11.15,$0.02,619.44
2022-12-31,12.7,$-0.08,0.0
2022-09-30,10.05,$-0.11,0.0
2022-06-30,9.78,$-0.30,0.0
2022-03-31,11.03,$0.07,147.86
2021-12-31,8.54,$0.23,37.57
2021-09-30,7.65,$0.72,10.61
2021-06-30,9.49,$1.05,9.07
2021-03-31,10.09,$1.59,6.36
2020-12-31,7.18,$1.66,4.32
2020-09-30,4.54,$1.79,2.54
2020-06-30,8.63,$2.16,4.0
2020-03-31,5.16,$2.16,2.39
2019-12-31,11.24,$1.95,5.78
2019-09-30,11.47,$1.94,5.9
2019-06-30,14.76,$1.25,11.81
2019-03-31,13.96,$0.67,20.76
2018-12-31,11.64,$0.57,20.46
2018-09-30,16.55,$-0.15,0.0
2018-06-30,13.33,$-0.67,0.0
2018-03-31,10.22,$-1.19,0.0
2017-12-31,11.03,$-1.10,0.0
2017-09-30,13.81,$-0.54,0.0
2017-06-30,16.08,$0.06,256.87
2017-03-31,16.96,$1.16,14.61
2016-12-31,20.47,$2.19,9.36
2016-09-30,21.43,$2.46,8.72
2016-06-30,18.14,$3.68,4.93
2016-03-31,17.72,$3.93,4.51
2015-12-31,15.82,$2.95,5.36
2015-09-30,14.8,$2.86,5.17
2015-06-30,19.91,$0.86,23.2
2015-03-31,21.64,$0.49,44.22
