Natural Resource Partners LP Price to Free Cash Flow Ratio Historical Data,Natural Resource Partners LP Price to Free Cash Flow Ratio Historical Data,Natural Resource Partners LP Price to Free Cash Flow Ratio Historical Data,Natural Resource Partners LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,108.75,,5.86
2024-12-31,111.0,$18.56,5.98
2024-09-30,97.11,$18.47,5.26
2024-06-30,88.25,$20.06,4.4
2024-03-31,89.82,$20.38,4.41
2023-12-31,87.1,$19.50,4.47
2023-09-30,73.45,$18.69,3.93
2023-06-30,48.55,$17.27,2.81
2023-03-31,47.36,$15.13,3.13
2022-12-31,46.53,$13.63,3.41
2022-09-30,37.27,$13.03,2.86
2022-06-30,30.83,$9.94,3.1
2022-03-31,34.84,$6.22,5.6
2021-12-31,26.92,$5.50,4.9
2021-09-30,18.78,$3.62,5.19
2021-06-30,16.48,$4.44,3.71
2021-03-31,12.24,$8.31,1.47
2020-12-31,10.17,$7.33,1.39
2020-09-30,8.56,$12.60,0.68
2020-06-30,8.42,$10.24,0.82
2020-03-31,8.43,$11.47,0.74
2019-12-31,13.59,$11.73,1.16
2019-09-30,16.82,$9.87,1.7
2019-06-30,23.15,$11.71,1.98
2019-03-31,26.6,$9.69,2.74
2018-12-31,23.95,$9.46,2.53
2018-09-30,19.16,$7.64,2.51
2018-06-30,19.13,$7.07,2.71
2018-03-31,17.25,$5.58,3.09
2017-12-31,15.39,$5.84,2.63
2017-09-30,14.4,$6.14,2.34
2017-06-30,15.77,$10.00,1.58
2017-03-31,20.43,$10.34,1.98
2016-12-31,18.03,$13.90,1.3
2016-09-30,15.35,$15.18,1.01
2016-06-30,7.76,$14.40,0.54
2016-03-31,3.92,$17.01,0.23
2015-12-31,6.39,$17.03,0.38
2015-09-30,12.48,$17.15,0.73
2015-06-30,17.97,$18.29,0.98
2015-03-31,31.6,$19.74,1.6
2014-12-31,41.46,$18.48,2.24
2014-09-30,56.82,$19.34,2.94
2014-06-30,70.68,$20.29,3.48
2014-03-31,66.43,$22.02,3.02
2013-12-31,81.44,$22.55,3.61
2013-09-30,75.78,$25.54,2.97
2013-06-30,79.65,$26.72,2.98
2013-03-31,88.45,$27.25,3.25
2012-12-31,68.35,$27.87,2.45
2012-09-30,74.48,$27.87,2.67
2012-06-30,77.5,$28.59,2.71
2012-03-31,81.96,$29.55,2.77
2011-12-31,90.79,$29.31,3.1
2011-09-30,83.38,$30.02,2.78
2011-06-30,107.18,$29.14,3.68
2011-03-31,111.45,$29.44,3.79
2010-12-31,103.96,$31.04,3.35
2010-09-30,82.27,$33.23,2.48
2010-06-30,71.09,$31.14,2.28
2010-03-31,77.14,$30.44,2.53
2009-12-31,69.73,$30.95,2.25
