Best Buy Price to Free Cash Flow Ratio Historical Data,Best Buy Price to Free Cash Flow Ratio Historical Data,Best Buy Price to Free Cash Flow Ratio Historical Data,Best Buy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,73.48,,11.43
2025-01-31,85.86,$6.43,13.36
2024-10-31,90.43,$4.72,19.17
2024-07-31,85.7,$6.29,13.63
2024-04-30,72.21,$5.54,13.03
2024-01-31,70.24,$3.09,22.74
2023-10-31,63.95,$6.04,10.59
2023-07-31,78.47,$8.07,9.72
2023-04-30,69.57,$8.53,8.16
2023-01-31,81.84,$3.96,20.66
2022-10-31,62.44,$4.47,13.95
2022-07-31,69.44,$2.86,24.26
2022-04-30,80.1,$3.31,24.23
2022-01-31,87.63,$10.09,8.69
2021-10-31,107.14,$5.29,20.25
2021-07-31,97.86,$5.01,19.54
2021-04-30,100.64,$13.31,7.56
2021-01-31,93.6,$16.02,5.84
2020-10-31,95.43,$18.26,5.23
2020-07-31,84.77,$19.06,4.45
2020-04-30,64.87,$9.99,6.49
2020-01-31,70.88,$6.80,10.43
2019-10-31,59.77,$5.22,11.44
2019-07-31,63.21,$3.95,15.99
2019-04-30,60.99,$4.86,12.54
2019-01-31,48.21,$5.65,8.54
2018-10-31,56.66,$4.14,13.68
2018-07-31,60.24,$6.04,9.97
2018-04-30,61.07,$4.53,13.49
2018-01-31,57.92,$4.73,12.24
2017-10-31,44.13,$5.28,8.35
2017-07-31,45.72,$4.07,11.24
2017-04-30,40.37,$5.32,7.58
2017-01-31,34.43,$6.13,5.62
2016-10-31,29.91,$5.25,5.7
2016-07-31,25.64,$5.27,4.86
2016-04-30,24.25,$3.44,7.04
2016-01-31,20.64,$1.98,10.43
2015-10-31,25.69,$2.81,9.13
2015-07-31,23.54,$3.28,7.18
2015-04-30,25.09,$2.95,8.51
2015-01-31,25.03,$3.89,6.44
2014-10-31,24.15,$2.84,8.5
2014-07-31,20.91,$3.04,6.87
2014-04-30,18.13,$2.66,6.81
2014-01-31,16.35,$1.57,10.39
2013-10-31,29.61,$3.64,8.14
2013-07-31,20.72,$2.78,7.45
2013-04-30,17.79,$0.79,22.46
2013-01-31,11.04,$2.01,5.49
2012-10-31,10.19,$-1.91,0.0
2012-07-31,12.0,$-0.44,0.0
2012-04-30,14.53,$3.75,3.87
2012-02-29,16.14,$3.65,4.42
2012-01-31,15.65,$4.55,3.44
2011-11-30,17.58,$2.63,6.69
2011-10-31,17.02,$0.62,27.36
2011-08-31,16.49,$2.95,5.59
2011-07-31,17.79,$3.12,5.69
2011-05-31,20.37,$4.54,4.48
2011-04-30,20.03,$4.01,4.99
2011-02-28,20.58,$-2.61,0.0
2010-11-30,27.15,$0.04,692.64
2010-08-31,19.88,$0.05,401.56
2010-05-31,26.64,$1.07,24.9
2010-02-28,22.95,$2.85,8.04
2009-11-30,26.83,$0.49,54.76
