AudioCodes Price to Free Cash Flow Ratio Historical Data,AudioCodes Price to Free Cash Flow Ratio Historical Data,AudioCodes Price to Free Cash Flow Ratio Historical Data,AudioCodes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.03,,40.77
2024-09-30,9.73,$0.25,39.55
2024-06-30,10.21,$0.11,89.77
2024-03-31,12.82,$0.49,26.2
2023-12-31,11.71,$0.28,41.42
2023-09-30,9.81,$0.01,891.73
2023-06-30,8.71,$0.12,75.35
2023-03-31,14.39,$0.25,57.8
2022-12-31,16.89,$0.21,80.83
2022-09-30,20.6,$0.33,63.06
2022-06-30,20.65,$0.65,31.76
2022-03-31,23.94,$1.00,23.82
2021-12-31,32.34,$1.36,23.71
2021-09-30,30.29,$1.57,19.29
2021-06-30,30.64,$1.47,20.85
2021-03-31,24.98,$1.29,19.3
2020-12-31,25.37,$1.12,22.6
2020-09-30,28.97,$0.86,33.54
2020-06-30,29.16,$0.72,40.74
2020-03-31,21.92,$0.66,33.07
2019-12-31,23.44,$0.69,34.02
2019-09-30,17.26,$1.00,17.32
2019-06-30,14.03,$0.97,14.46
2019-03-31,12.54,$0.77,16.24
2018-12-31,8.88,$0.80,11.07
2018-09-30,9.05,$0.67,13.49
2018-06-30,6.86,$0.76,9.07
2018-03-31,6.3,$0.76,8.35
2017-12-31,6.49,$0.50,12.89
2017-09-30,6.29,$0.43,14.61
2017-06-30,5.28,$0.35,15.09
2017-03-31,6.18,$0.42,14.61
2016-12-31,5.6,$0.47,11.87
2016-09-30,4.71,$0.50,9.47
2016-06-30,3.69,$0.51,7.24
2016-03-31,4.1,$0.46,8.86
2015-12-31,3.44,$0.43,7.97
2015-09-30,2.86,$0.27,10.75
2015-03-31,4.05,$0.13,30.49
2014-12-31,4.0,$0.08,50.59
2014-09-30,4.23,$0.18,23.8
2014-06-30,6.21,$0.18,35.19
2014-03-31,6.39,$0.29,22.06
2013-12-31,6.28,$0.31,20.02
2013-09-30,6.17,$0.39,15.65
2013-06-30,3.9,$0.31,12.47
2013-03-31,3.35,$0.09,37.59
2012-12-31,2.84,$0.03,109.59
2012-09-30,2.21,$-0.09,0.0
2012-06-30,1.55,$-0.06,0.0
2012-03-31,2.4,$-0.05,0.0
2011-12-31,3.44,$-0.07,0.0
2011-09-30,2.75,$-0.03,0.0
2011-06-30,4.84,$0.12,40.8
2011-03-31,5.24,$0.26,19.85
2010-12-31,5.19,$0.36,14.54
2010-09-30,3.44,$0.51,6.68
2010-06-30,2.18,$0.52,4.15
2010-03-31,3.56,$0.57,6.27
2009-12-31,2.23,$0.49,4.57
