NSTS Bancorp Price to Free Cash Flow Ratio Historical Data,NSTS Bancorp Price to Free Cash Flow Ratio Historical Data,NSTS Bancorp Price to Free Cash Flow Ratio Historical Data,NSTS Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.83,,0.0
2024-09-30,10.35,$-0.10,0.0
2024-06-30,9.63,$-0.38,0.0
2024-03-31,9.54,$-0.05,0.0
2023-12-31,9.51,$-0.02,0.0
2023-09-30,9.05,$-0.01,0.0
2023-06-30,9.14,$0.31,29.29
2023-03-31,9.09,$0.23,39.2
2022-12-31,10.13,$0.59,17.27
