Farmmi Price to Free Cash Flow Ratio Historical Data,Farmmi Price to Free Cash Flow Ratio Historical Data,Farmmi Price to Free Cash Flow Ratio Historical Data,Farmmi Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.0,,inf
2024-09-30,0.27,0.0,0.0
2023-09-30,1.6,0.0,0.0
2023-03-31,3.63,0.0,0.0
2022-09-30,4.45,0.0,0.0
2022-03-31,30.18,0.0,0.0
2021-09-30,92.5,0.0,0.0
2021-03-31,218.0,0.0,0.0
2020-09-30,175.44,0.0,0.0
