Eagle Materials Inc Price to Free Cash Flow Ratio Historical Data,Eagle Materials Inc Price to Free Cash Flow Ratio Historical Data,Eagle Materials Inc Price to Free Cash Flow Ratio Historical Data,Eagle Materials Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,217.29,,20.04
2024-12-31,246.76,$10.84,22.75
2024-09-30,287.38,$13.54,21.23
2024-06-30,217.06,$12.63,17.19
2024-03-31,270.96,$12.64,21.44
2023-12-31,202.05,$12.07,16.74
2023-09-30,165.67,$11.77,14.08
2023-06-30,185.21,$11.71,15.81
2023-03-31,145.58,$11.65,12.5
2022-12-31,131.55,$13.04,10.09
2022-09-30,105.93,$12.07,8.78
2022-06-30,108.42,$11.36,9.54
2022-03-31,126.33,$10.82,11.67
2021-12-31,163.52,$11.45,14.28
2021-09-30,128.64,$12.10,10.63
2021-06-30,139.12,$14.75,9.43
2021-03-31,131.35,$14.09,9.33
2020-12-31,99.04,$12.51,7.92
2020-09-30,84.35,$10.98,7.69
2020-06-30,68.62,$7.34,9.35
2020-03-31,57.0,$6.33,9.01
2019-12-31,88.46,$5.94,14.88
2019-09-30,87.63,$5.13,17.07
2019-06-30,90.25,$3.92,23.01
2019-03-31,81.88,$3.91,20.92
2018-12-31,59.28,$3.96,14.98
2018-09-30,82.56,$3.76,21.93
2018-06-30,101.67,$4.10,24.77
2018-03-31,99.62,$4.23,23.56
2017-12-31,109.52,$4.33,25.3
2017-09-30,102.96,$4.96,20.75
2017-06-30,89.18,$5.52,16.15
2017-03-31,93.54,$5.68,16.47
2016-12-31,94.87,$5.97,15.9
2016-09-30,74.26,$5.44,13.66
2016-06-30,74.12,$4.58,16.19
2016-03-31,67.17,$3.52,19.09
2015-12-31,57.9,$2.92,19.85
2015-09-30,65.35,$1.92,34.06
2015-06-30,72.91,$1.96,37.13
2015-03-31,79.61,$2.43,32.72
2014-12-31,72.44,$2.56,28.29
2014-09-30,96.8,$2.81,34.46
2014-06-30,89.62,$2.61,34.29
2014-03-31,84.09,$2.23,37.78
2013-12-31,73.44,$1.93,38.02
2013-09-30,68.63,$1.18,58.03
2013-06-30,62.69,$1.14,54.95
2013-03-31,62.84,$1.51,41.67
2012-12-31,55.17,$1.90,29.06
2012-09-30,43.55,$1.61,27.04
2012-06-30,35.08,$1.16,30.24
2012-03-31,32.45,$0.78,41.57
2011-12-31,23.96,$0.48,50.05
2011-09-30,15.48,$0.57,27.07
2011-06-30,25.76,$0.27,96.37
2011-03-31,27.87,$0.62,44.91
2010-12-31,25.93,$0.19,138.45
2010-09-30,21.58,$0.54,40.25
2010-06-30,23.62,$1.06,22.37
2010-03-31,24.08,$1.15,20.88
2009-12-31,23.55,$3.11,7.57
