Healthcare Triangle Price to Free Cash Flow Ratio Historical Data,Healthcare Triangle Price to Free Cash Flow Ratio Historical Data,Healthcare Triangle Price to Free Cash Flow Ratio Historical Data,Healthcare Triangle Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.37,,1.72
2024-09-30,0.49,$0.21,2.31
2024-06-30,0.52,$0.07,6.93
2024-03-31,1.86,$-0.01,0.0
2023-12-31,2.75,$-0.38,0.0
2023-09-30,3.81,$-1.26,0.0
2023-06-30,2.33,$-1.53,0.0
2023-03-31,0.4,$-1.20,0.0
2022-12-31,0.18,$-0.72,0.0
2022-09-30,0.37,$-2.55,0.0
