Celularity Price to Free Cash Flow Ratio Historical Data,Celularity Price to Free Cash Flow Ratio Historical Data,Celularity Price to Free Cash Flow Ratio Historical Data,Celularity Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.73,,0.0
2024-09-30,2.97,$-0.75,0.0
2024-06-30,3.13,$-1.11,0.0
2024-03-31,5.23,$-1.46,0.0
2023-12-31,2.47,$-2.23,0.0
2023-09-30,2.22,$-3.91,0.0
2023-06-30,5.33,$-6.18,0.0
2023-03-31,6.2,$-7.79,0.0
2022-12-31,12.9,$-9.55,0.0
2022-09-30,23.1,$-18.20,0.0
2022-06-30,34.0,$-3.00,0.0
2022-03-31,87.1,$-9.01,0.0
2021-12-31,51.2,$-17.34,0.0
2021-09-30,70.8,$-20.85,0.0
2021-06-30,101.8,$-67.84,0.0
2021-03-31,100.8,$-59.96,0.0
2020-12-31,110.0,$-49.42,0.0
2020-09-30,105.0,$-35.40,0.0
2020-06-30,102.0,$-1.99,0.0
