Liberty Media - Liberty Formula One Series A Price to Free Cash Flow Ratio Historical Data,Liberty Media - Liberty Formula One Series A Price to Free Cash Flow Ratio Historical Data,Liberty Media - Liberty Formula One Series A Price to Free Cash Flow Ratio Historical Data,Liberty Media - Liberty Formula One Series A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,80.08,,inf
2024-12-31,84.04,0.0,0.0
2024-09-30,71.53,0.0,0.0
2024-06-30,64.23,0.0,0.0
2024-03-31,58.74,0.0,0.0
