Amtech Systems Price to Free Cash Flow Ratio Historical Data,Amtech Systems Price to Free Cash Flow Ratio Historical Data,Amtech Systems Price to Free Cash Flow Ratio Historical Data,Amtech Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.9,,11.32
2024-12-31,5.45,$0.43,12.59
2024-09-30,5.8,$0.54,10.75
2024-06-30,5.86,$0.34,17.36
2024-03-31,5.41,$0.12,46.44
2023-12-31,4.2,$-0.26,0.0
2023-09-30,7.62,$-0.75,0.0
2023-06-30,9.56,$-0.71,0.0
2023-03-31,9.54,$1.28,7.46
2022-12-31,7.6,$1.33,5.73
2022-09-30,8.5,$1.69,5.03
2022-06-30,7.3,$1.38,5.29
2022-03-31,10.06,$-0.61,0.0
2021-12-31,9.88,$-0.45,0.0
2021-09-30,11.43,$-0.63,0.0
2021-06-30,9.64,$-0.42,0.0
2021-03-31,11.82,$-0.42,0.0
2020-12-31,6.38,$-0.29,0.0
2020-09-30,4.89,$-0.31,0.0
2020-06-30,4.87,$-0.16,0.0
2020-03-31,4.35,$0.26,16.75
2019-12-31,7.16,$-0.01,0.0
2019-09-30,5.3,$-0.04,0.0
2019-06-30,5.5,$0.78,7.03
2019-03-31,5.33,$0.34,15.69
2018-12-31,4.53,$0.28,16.13
2018-09-30,5.34,$-0.63,0.0
2018-06-30,6.05,$0.22,27.25
2018-03-31,7.32,$0.37,19.78
2017-12-31,10.07,$1.74,5.77
2017-09-30,11.98,$2.43,4.93
2017-06-30,8.44,$0.77,11.0
2017-03-31,5.5,$0.57,9.58
2016-12-31,4.25,$0.13,32.39
2016-09-30,4.96,$-0.42,0.0
2016-06-30,5.97,$-0.30,0.0
2016-03-31,6.49,$-0.76,0.0
2015-12-31,6.26,$-1.89,0.0
2015-09-30,4.3,$-0.89,0.0
2015-06-30,10.39,$-1.46,0.0
2015-03-31,11.18,$-1.23,0.0
2014-12-31,10.2,$-0.27,0.0
2014-09-30,10.7,$-1.19,0.0
2014-06-30,12.23,$-0.92,0.0
2014-03-31,12.17,$-0.45,0.0
2013-12-31,6.96,$-1.31,0.0
2013-09-30,7.3,$-1.06,0.0
2013-06-30,6.36,$-0.33,0.0
2013-03-31,3.64,$-0.84,0.0
2012-12-31,3.22,$-1.25,0.0
2012-09-30,3.31,$-1.45,0.0
2012-06-30,3.76,$-1.01,0.0
2012-03-31,8.33,$-1.25,0.0
2011-12-31,8.51,$0.86,9.85
2011-09-30,8.0,$1.05,7.63
2011-06-30,20.64,$1.18,17.55
2011-03-31,25.24,$1.98,12.76
2010-12-31,25.15,$0.85,29.71
2010-09-30,17.96,$1.39,12.89
2010-06-30,8.35,$0.60,14.0
2010-03-31,10.09,$0.91,11.13
2009-12-31,11.07,$0.75,14.8
