Inotiv Price to Free Cash Flow Ratio Historical Data,Inotiv Price to Free Cash Flow Ratio Historical Data,Inotiv Price to Free Cash Flow Ratio Historical Data,Inotiv Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.82,,0.0
2024-12-31,4.14,$-0.83,0.0
2024-09-30,1.7,$-0.91,0.0
2024-06-30,1.66,$-0.10,0.0
2024-03-31,10.94,$0.56,19.56
2023-12-31,3.67,$0.26,14.37
2023-09-30,3.08,$0.06,52.83
2023-06-30,4.77,$-0.73,0.0
2023-03-31,4.33,$-1.70,0.0
2022-12-31,4.94,$-1.99,0.0
2022-09-30,16.85,$-1.69,0.0
2022-06-30,9.6,$-1.53,0.0
2022-03-31,26.18,$-0.74,0.0
2021-12-31,42.07,$-0.45,0.0
2021-09-30,29.24,$-0.12,0.0
2021-06-30,26.68,$-0.15,0.0
2021-03-31,20.0,$0.01,1538.46
2020-12-31,12.3,$-0.37,0.0
2020-09-30,4.78,$-0.45,0.0
2020-06-30,5.02,$-0.41,0.0
2020-03-31,3.26,$-0.64,0.0
2019-12-31,4.95,$-0.58,0.0
2019-09-30,3.59,$-0.49,0.0
2019-06-30,2.0,$-0.31,0.0
2019-03-31,2.07,$0.07,28.05
2018-12-31,1.27,$0.20,6.26
2018-09-30,1.61,$0.25,6.5
2018-06-30,1.65,$0.14,11.9
2018-03-31,1.6,$0.10,15.61
2017-12-31,2.45,$0.06,37.87
2017-09-30,1.76,$0.10,17.14
2017-06-30,1.66,$0.17,10.05
2017-03-31,1.39,$0.09,16.31
2016-12-31,0.77,$0.14,5.36
2016-09-30,1.15,$-0.02,0.0
2016-06-30,1.17,$-0.05,0.0
2016-03-31,1.17,$-0.01,0.0
2015-12-31,1.52,$0.04,35.93
2015-09-30,1.69,$0.08,22.18
2015-06-30,2.01,$0.11,18.09
2015-03-31,2.03,$0.07,29.68
2014-12-31,2.18,$-0.01,0.0
2014-09-30,2.31,$0.15,15.4
2014-06-30,2.53,$0.12,21.22
2014-03-31,2.51,$0.23,10.79
2013-12-31,2.71,$0.24,11.52
2013-09-30,1.35,$0.19,7.03
2013-06-30,1.43,$0.22,6.61
2013-03-31,1.64,$0.09,19.02
2012-12-31,1.36,$-0.05,0.0
2012-09-30,1.3,$-0.15,0.0
2012-06-30,0.9,$-0.39,0.0
2012-03-31,1.29,$-0.46,0.0
2011-12-31,1.25,$-0.12,0.0
2011-09-30,1.19,$-0.02,0.0
2011-06-30,1.98,$0.27,7.34
2011-03-31,2.29,$0.45,5.08
2010-12-31,2.52,$0.45,5.56
2010-09-30,1.0,$0.41,2.47
2010-06-30,0.93,$0.45,2.09
2010-03-31,1.29,$0.39,3.3
2009-12-31,1.04,$0.27,3.79
