McDonald's Price to Free Cash Flow Ratio Historical Data,McDonald's Price to Free Cash Flow Ratio Historical Data,McDonald's Price to Free Cash Flow Ratio Historical Data,McDonald's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,307.0,,32.62
2024-12-31,289.89,$9.41,30.8
2024-09-30,302.68,$9.22,32.84
2024-06-30,251.83,$9.89,25.47
2024-03-31,278.62,$9.96,27.99
2023-12-31,291.35,$10.04,29.03
2023-09-30,257.33,$9.86,26.09
2023-06-30,289.92,$9.07,31.98
2023-03-31,270.24,$7.76,34.81
2022-12-31,253.24,$7.46,33.97
2022-09-30,220.5,$7.84,28.12
2022-06-30,234.64,$8.11,28.94
2022-03-31,233.72,$9.53,24.53
2021-12-31,251.95,$9.59,26.28
2021-09-30,225.34,$8.99,25.07
2021-06-30,214.72,$9.52,22.55
2021-03-31,207.21,$7.14,29.0
2020-12-31,197.14,$6.20,31.79
2020-09-30,200.46,$5.71,35.13
2020-06-30,167.49,$4.63,36.14
2020-03-31,149.13,$7.14,20.87
2019-12-31,177.09,$7.69,23.04
2019-09-30,191.18,$6.94,27.56
2019-06-30,183.93,$6.92,26.59
2019-03-31,167.22,$6.10,27.39
2018-12-31,155.38,$5.58,27.84
2018-09-30,145.49,$5.36,27.16
2018-06-30,135.43,$4.70,28.81
2018-03-31,134.31,$4.76,28.19
2017-12-31,146.89,$4.74,31.0
2017-09-30,132.93,$4.28,31.06
2017-06-30,129.18,$4.90,26.36
2017-03-31,108.65,$4.93,22.06
2016-12-31,101.28,$5.02,20.18
2016-09-30,95.25,$5.91,16.12
2016-06-30,98.6,$5.34,18.46
2016-03-31,102.23,$5.40,18.93
2015-12-31,95.37,$5.23,18.24
2015-09-30,78.92,$5.04,15.66
2015-06-30,75.48,$4.55,16.58
2015-03-31,76.69,$4.30,17.83
2014-12-31,73.12,$4.29,17.03
2014-09-30,73.34,$4.42,16.58
2014-06-30,77.26,$4.58,16.89
2014-03-31,74.59,$4.57,16.31
2013-12-31,73.2,$4.27,17.14
2013-09-30,71.98,$4.14,17.4
2013-06-30,73.48,$4.01,18.32
2013-03-31,73.41,$3.87,18.99
2012-12-31,64.43,$3.84,16.78
2012-09-30,66.43,$3.81,17.42
2012-06-30,63.6,$4.00,15.89
2012-03-31,69.92,$4.25,16.43
2011-12-31,71.01,$4.23,16.79
2011-09-30,61.7,$4.26,14.49
2011-06-30,58.84,$4.17,14.12
2011-03-31,52.71,$3.95,13.35
2010-12-31,52.74,$3.89,13.54
2010-09-30,50.8,$3.72,13.67
2010-06-30,44.57,$3.63,12.29
2010-03-31,44.78,$3.73,12.01
2009-12-31,41.55,$3.43,12.11
