Torrid Holdings Price to Free Cash Flow Ratio Historical Data,Torrid Holdings Price to Free Cash Flow Ratio Historical Data,Torrid Holdings Price to Free Cash Flow Ratio Historical Data,Torrid Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.53,,11.36
2024-10-31,3.63,$0.49,7.46
2024-07-31,8.3,$0.50,16.68
2024-04-30,5.07,$0.30,16.73
2024-01-31,5.16,$0.16,32.13
2023-10-31,2.33,$0.11,21.24
2023-07-31,2.72,$0.18,14.88
2023-04-30,3.42,$0.32,10.78
2023-01-31,3.72,$0.29,12.98
2022-10-31,4.93,$0.26,18.72
2022-07-31,4.06,$0.35,11.76
2022-04-30,5.86,$0.97,6.07
