"Sturm, Ruger Price to Free Cash Flow Ratio Historical Data","Sturm, Ruger Price to Free Cash Flow Ratio Historical Data","Sturm, Ruger Price to Free Cash Flow Ratio Historical Data","Sturm, Ruger Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.57,,19.7
2024-12-31,35.37,$2.01,17.61
2024-09-30,41.56,$1.77,23.52
2024-06-30,41.35,$0.96,43.26
2024-03-31,45.64,$1.13,40.48
2023-12-31,44.72,$1.02,43.98
2023-09-30,51.1,$1.25,40.96
2023-06-30,51.58,$2.72,18.94
2023-03-31,55.61,$2.55,21.81
2022-12-31,48.64,$2.79,17.45
2022-09-30,44.34,$4.24,10.45
2022-06-30,55.12,$5.46,10.09
2022-03-31,59.67,$7.28,8.19
2021-12-31,57.6,$8.10,7.11
2021-09-30,61.81,$8.28,7.47
2021-06-30,74.46,$6.32,11.78
2021-03-31,54.05,$6.47,8.35
2020-12-31,52.71,$6.74,7.82
2020-09-30,49.12,$5.83,8.42
2020-06-30,57.3,$6.30,9.1
2020-03-31,38.16,$3.91,9.77
2019-12-31,35.1,$1.65,21.3
2019-09-30,31.09,$1.06,29.35
2019-06-30,40.43,$1.15,35.12
2019-03-31,39.13,$2.97,13.2
2018-12-31,39.06,$6.19,6.31
2018-09-30,50.5,$6.32,8.0
2018-06-30,40.72,$6.60,6.17
2018-03-31,37.97,$5.62,6.75
2017-12-31,40.21,$3.77,10.67
2017-09-30,37.06,$2.99,12.37
2017-06-30,44.35,$2.44,18.17
2017-03-31,37.92,$3.10,12.22
2016-12-31,37.01,$3.67,10.09
2016-09-30,40.25,$3.94,10.21
2016-06-30,44.28,$3.84,11.52
2016-03-31,46.96,$4.06,11.56
2015-12-31,40.75,$4.34,9.38
2015-09-30,39.92,$4.03,9.9
2015-06-30,38.85,$3.20,12.14
2015-03-31,33.37,$1.68,19.87
2014-12-31,23.21,$0.50,46.02
2014-09-30,32.51,$0.73,44.75
2014-06-30,39.05,$1.35,28.85
2014-03-31,39.28,$2.43,16.15
2013-12-31,47.6,$3.27,14.54
2013-09-30,40.47,$3.67,11.03
2013-06-30,30.68,$4.40,6.98
2013-03-31,32.09,$3.29,9.75
2012-12-31,28.51,$3.10,9.19
2012-09-30,28.4,$2.36,12.03
2012-06-30,22.85,$1.86,12.31
2012-03-31,27.77,$1.95,14.22
2011-12-31,18.83,$1.86,10.13
2011-09-30,14.55,$1.91,7.62
2011-06-30,12.23,$1.62,7.54
2011-03-31,12.74,$1.33,9.61
2010-12-31,8.46,$0.68,12.46
2010-09-30,7.51,$0.60,12.44
2010-06-30,7.83,$1.18,6.64
2010-03-31,6.52,$1.58,4.14
2009-12-31,5.25,$1.70,3.08
