Third Coast Bancshares Price to Free Cash Flow Ratio Historical Data,Third Coast Bancshares Price to Free Cash Flow Ratio Historical Data,Third Coast Bancshares Price to Free Cash Flow Ratio Historical Data,Third Coast Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,33.95,,17.43
2024-12-31,33.95,$1.95,17.43
2024-09-30,26.77,$2.96,9.03
2024-06-30,21.27,$2.04,10.41
2024-03-31,20.02,$2.28,8.78
2023-12-31,19.87,$2.11,9.41
2023-09-30,17.1,$1.59,10.77
2023-06-30,15.87,$1.78,8.93
2023-03-31,15.71,$1.33,11.79
2022-12-31,18.43,$0.79,23.2
2022-09-30,17.11,$0.42,41.18
