Service Properties Trust Price to Free Cash Flow Ratio Historical Data,Service Properties Trust Price to Free Cash Flow Ratio Historical Data,Service Properties Trust Price to Free Cash Flow Ratio Historical Data,Service Properties Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.94,,0.0
2024-12-31,2.54,$-0.37,0.0
2024-09-30,4.55,$0.54,8.47
2024-06-30,4.95,$0.24,20.83
2024-03-31,6.32,$1.08,5.88
2023-12-31,7.77,$2.29,3.4
2023-09-30,6.8,$2.20,3.09
2023-06-30,7.51,$2.60,2.89
2023-03-31,8.43,$4.80,1.75
2022-12-31,6.02,$4.19,1.44
2022-09-30,4.17,$3.82,1.09
2022-06-30,4.2,$3.30,1.27
2022-03-31,7.08,$0.72,9.86
2021-12-31,7.04,$-0.01,0.0
2021-09-30,8.97,$0.12,72.6
2021-06-30,10.08,$0.15,68.41
2021-03-31,9.48,$-0.18,0.0
2020-12-31,9.17,$0.79,11.68
2020-09-30,6.34,$3.84,1.65
2020-06-30,5.65,$-10.34,0.0
2020-03-31,4.29,$-9.46,0.0
2019-12-31,18.9,$-8.70,0.0
2019-09-30,19.61,$-11.56,0.0
2019-06-30,18.6,$3.15,5.91
2019-03-31,19.18,$2.77,6.92
2018-12-31,17.06,$1.74,9.78
2018-09-30,20.6,$2.08,9.88
2018-06-30,20.05,$0.97,20.57
2018-03-31,17.39,$0.47,36.62
2017-12-31,20.12,$-0.45,0.0
2017-09-30,18.86,$-0.53,0.0
2017-06-30,18.95,$0.57,33.54
2017-03-31,20.17,$1.13,17.81
2016-12-31,19.98,$1.00,19.89
2016-09-30,18.38,$0.72,25.61
2016-06-30,17.52,$-0.24,0.0
2016-03-31,15.85,$-1.67,0.0
2015-12-31,15.25,$-0.66,0.0
2015-09-30,14.53,$-0.71,0.0
2015-06-30,16.1,$-0.40,0.0
2015-03-31,18.14,$1.03,17.6
2014-12-31,16.79,$1.21,13.86
2014-09-30,14.29,$0.89,15.99
2014-06-30,15.92,$-0.49,0.0
2014-03-31,14.8,$-0.61,0.0
2013-12-31,13.68,$-0.91,0.0
2013-09-30,14.09,$-3.78,0.0
2013-06-30,12.87,$-0.81,0.0
2013-03-31,13.22,$-0.76,0.0
2012-12-31,11.08,$-1.89,0.0
2012-09-30,11.03,$1.51,7.31
2012-06-30,11.27,$0.65,17.23
2012-03-31,11.85,$0.78,15.15
2011-12-31,10.1,$2.37,4.26
2011-09-30,9.15,$2.47,3.7
2011-06-30,10.27,$2.41,4.26
2011-03-31,9.63,$2.69,3.58
2010-12-31,9.41,$2.71,3.47
2010-09-30,8.95,$3.04,2.94
2010-06-30,8.27,$2.68,3.09
2010-03-31,9.23,$2.88,3.2
2009-12-31,8.96,$2.96,3.02
