Nasdaq Price to Free Cash Flow Ratio Historical Data,Nasdaq Price to Free Cash Flow Ratio Historical Data,Nasdaq Price to Free Cash Flow Ratio Historical Data,Nasdaq Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,76.91,,25.72
2024-12-31,77.31,$2.99,25.85
2024-09-30,72.79,$2.55,28.56
2024-06-30,59.89,$2.75,21.74
2024-03-31,62.45,$2.81,22.21
2023-12-31,57.33,$3.03,18.95
2023-09-30,47.72,$2.66,17.96
2023-06-30,48.75,$3.13,15.59
2023-03-31,53.24,$3.05,17.48
2022-12-31,59.52,$3.12,19.07
2022-09-30,54.83,$3.49,15.7
2022-06-30,49.03,$2.87,17.1
2022-03-31,57.05,$2.26,25.3
2021-12-31,67.01,$1.82,36.79
2021-09-30,61.43,$1.90,32.3
2021-06-30,55.8,$1.39,40.24
2021-03-31,46.65,$2.12,22.01
2020-12-31,41.85,$2.13,19.7
2020-09-30,38.54,$1.97,19.56
2020-06-30,37.37,$2.26,16.52
2020-03-31,29.58,$1.74,16.96
2019-12-31,33.18,$1.67,19.88
2019-09-30,30.64,$1.70,17.97
2019-06-30,29.52,$1.53,19.32
2019-03-31,26.73,$1.75,15.3
2018-12-31,24.79,$1.82,13.6
2018-09-30,25.94,$1.70,15.29
2018-06-30,27.47,$1.83,15.04
2018-03-31,25.83,$1.80,14.31
2017-12-31,22.91,$1.50,15.24
2017-09-30,23.02,$1.46,15.75
2017-06-30,21.11,$1.41,14.98
2017-03-31,20.39,$1.22,16.77
2016-12-31,19.62,$1.27,15.48
2016-09-30,19.65,$1.22,16.17
2016-06-30,18.73,$1.23,15.19
2016-03-31,19.13,$1.22,15.74
2015-12-31,16.7,$1.16,14.45
2015-09-30,15.24,$1.08,14.06
2015-06-30,13.88,$1.01,13.79
2015-03-31,14.42,$1.06,13.66
2014-12-31,13.53,$0.95,14.28
2014-09-30,11.93,$1.00,11.93
2014-06-30,10.82,$1.09,9.89
2014-03-31,10.31,$0.93,11.07
2013-12-31,11.07,$0.89,12.4
2013-09-30,8.9,$0.89,9.98
2013-06-30,9.05,$0.85,10.69
2013-03-31,8.88,$1.05,8.47
2012-12-31,6.84,$0.97,7.07
2012-09-30,6.34,$0.94,6.75
2012-06-30,6.14,$0.86,7.15
2012-03-31,6.98,$0.95,7.32
2011-12-31,6.6,$1.08,6.14
2011-09-30,6.23,$0.98,6.33
2011-06-30,6.81,$1.07,6.37
2011-03-31,6.96,$0.98,7.1
2010-12-31,6.39,$0.64,9.95
2010-09-30,5.23,$0.90,5.83
2010-06-30,4.79,$0.83,5.74
2010-03-31,5.69,$0.67,8.53
2009-12-31,5.34,$0.81,6.57
