Nuvve Holding Price to Free Cash Flow Ratio Historical Data,Nuvve Holding Price to Free Cash Flow Ratio Historical Data,Nuvve Holding Price to Free Cash Flow Ratio Historical Data,Nuvve Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.44,,0.0
2024-09-30,5.33,$-279.10,0.0
2024-06-30,0.8,$-150.76,0.0
2024-03-31,1.1,$-185.18,0.0
2023-12-31,0.12,$-268.62,0.0
2023-09-30,0.34,$-146.46,0.0
2023-06-30,0.6,$-363.65,0.0
2023-03-31,0.7,$-568.93,0.0
2022-12-31,0.67,$-658.41,0.0
2022-09-30,1.4,$-723.40,0.0
2022-06-30,4.68,$-846.96,0.0
2022-03-31,7.89,$-791.07,0.0
2021-12-31,13.32,$-707.49,0.0
2021-09-30,10.8,$-585.77,0.0
2021-06-30,13.82,$-393.40,0.0
2021-03-31,10.1,$-241.55,0.0
