IO Biotech Price to Free Cash Flow Ratio Historical Data,IO Biotech Price to Free Cash Flow Ratio Historical Data,IO Biotech Price to Free Cash Flow Ratio Historical Data,IO Biotech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.95,,0.0
2024-09-30,1.05,$-1.63,0.0
2024-06-30,1.17,$-1.14,0.0
2024-03-31,1.73,$-1.52,0.0
2023-12-31,1.88,$-1.66,0.0
2023-09-30,1.41,$-1.43,0.0
2023-06-30,1.96,$-2.06,0.0
2023-03-31,1.88,$-1.88,0.0
2022-12-31,2.3,$-2.10,0.0
2022-09-30,2.71,$-11.06,0.0
