AFC Gamma Price to Free Cash Flow Ratio Historical Data,AFC Gamma Price to Free Cash Flow Ratio Historical Data,AFC Gamma Price to Free Cash Flow Ratio Historical Data,AFC Gamma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.35,,6.15
2024-12-31,8.33,$1.03,8.07
2024-09-30,10.21,$1.24,8.26
2024-06-30,12.2,$1.39,8.77
2024-03-31,12.38,$1.14,10.84
2023-12-31,12.03,$1.04,11.53
2023-09-30,11.74,$0.94,12.47
2023-06-30,12.45,$1.27,9.8
2023-03-31,12.16,$1.55,7.87
2022-12-31,15.73,$1.57,10.02
2022-09-30,15.3,$1.60,9.55
2022-06-30,15.33,$0.92,16.75
2022-03-31,18.46,$0.61,30.15
2021-12-31,21.36,$0.69,30.92
