SJW Group Price to Free Cash Flow Ratio Historical Data,SJW Group Price to Free Cash Flow Ratio Historical Data,SJW Group Price to Free Cash Flow Ratio Historical Data,SJW Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,52.14,,0.0
2024-12-31,49.22,$-4.31,0.0
2024-09-30,57.69,$-5.82,0.0
2024-06-30,53.46,$-5.12,0.0
2024-03-31,55.4,$-4.40,0.0
2023-12-31,63.55,$-3.85,0.0
2023-09-30,58.11,$-2.44,0.0
2023-06-30,67.41,$-2.32,0.0
2023-03-31,72.84,$-2.51,0.0
2022-12-31,77.31,$-2.47,0.0
2022-09-30,54.57,$-2.46,0.0
2022-06-30,58.8,$-3.26,0.0
2022-03-31,65.15,$-2.97,0.0
2021-12-31,68.17,$-3.48,0.0
2021-09-30,61.23,$-3.99,0.0
2021-06-30,58.39,$-3.37,0.0
2021-03-31,57.79,$-3.18,0.0
2020-12-31,63.33,$-3.75,0.0
2020-09-30,55.28,$-3.34,0.0
2020-06-30,56.16,$-2.57,0.0
2020-03-31,51.95,$-2.57,0.0
2019-12-31,63.62,$-1.65,0.0
2019-09-30,60.88,$-1.74,0.0
2019-06-30,53.92,$-2.25,0.0
2019-03-31,54.78,$-2.38,0.0
2018-12-31,49.11,$-2.49,0.0
2018-09-30,53.74,$-2.89,0.0
2018-06-30,57.94,$-2.87,0.0
2018-03-31,45.91,$-2.64,0.0
2017-12-31,55.3,$-2.32,0.0
2017-09-30,48.74,$-0.68,0.0
2017-06-30,42.19,$-1.22,0.0
2017-03-31,41.18,$-1.38,0.0
2016-12-31,47.6,$-1.34,0.0
2016-09-30,36.98,$-2.00,0.0
2016-06-30,33.17,$-0.99,0.0
2016-03-31,30.44,$-0.89,0.0
2015-12-31,24.67,$-0.42,0.0
2015-09-30,25.43,$-0.17,0.0
2015-06-30,25.21,$-0.36,0.0
2015-03-31,25.22,$-0.78,0.0
2014-12-31,26.06,$-1.76,0.0
2014-09-30,21.67,$-2.09,0.0
2014-06-30,21.78,$-2.25,0.0
2014-03-31,23.5,$-1.79,0.0
2013-12-31,23.53,$-1.55,0.0
2013-09-30,21.99,$-1.91,0.0
2013-06-30,20.43,$-1.74,0.0
2013-03-31,20.51,$-1.78,0.0
2012-12-31,20.45,$-1.67,0.0
2012-09-30,19.36,$-1.09,0.0
2012-06-30,18.18,$-0.86,0.0
2012-03-31,18.13,$-0.41,0.0
2011-12-31,17.64,$-0.29,0.0
2011-09-30,16.13,$-1.18,0.0
2011-06-30,17.82,$-2.40,0.0
2011-03-31,16.9,$-3.12,0.0
2010-12-31,19.19,$-3.35,0.0
2010-09-30,17.73,$-1.91,0.0
2010-06-30,16.76,$-0.90,0.0
2010-03-31,18.05,$-0.29,0.0
2009-12-31,15.9,$-0.15,0.0
