Sierra Bancorp Price to Free Cash Flow Ratio Historical Data,Sierra Bancorp Price to Free Cash Flow Ratio Historical Data,Sierra Bancorp Price to Free Cash Flow Ratio Historical Data,Sierra Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.04,,6.91
2024-12-31,28.92,$4.20,6.88
2024-09-30,28.64,$4.54,6.31
2024-06-30,22.01,$3.96,5.56
2024-03-31,19.65,$4.97,3.96
2023-12-31,21.7,$4.88,4.45
2023-09-30,18.01,$3.02,5.97
2023-06-30,15.95,$2.93,5.44
2023-03-31,15.96,$2.22,7.2
2022-12-31,19.48,$2.15,9.06
2022-09-30,17.92,$0.49,36.67
2022-06-30,19.52,$3.05,6.39
2022-03-31,22.2,$3.16,7.04
2021-12-31,23.92,$3.50,6.84
2021-09-30,21.21,$5.96,3.56
2021-06-30,22.03,$2.49,8.87
2021-03-31,23.02,$2.82,8.16
2020-12-31,20.36,$2.43,8.38
2020-09-30,14.15,$3.01,4.7
2020-06-30,15.73,$3.10,5.08
2020-03-31,14.51,$2.57,5.64
2019-12-31,23.86,$2.98,8.01
2019-09-30,21.62,$1.95,11.11
2019-06-30,21.91,$2.39,9.19
2019-03-31,19.5,$2.24,8.71
2018-12-31,19.16,$1.77,10.82
2018-09-30,22.9,$2.98,7.69
2018-06-30,22.26,$2.58,8.61
2018-03-31,20.88,$2.67,7.83
2017-12-31,20.69,$2.68,7.71
2017-09-30,21.04,$0.48,44.03
2017-06-30,18.93,$0.94,20.11
2017-03-31,21.04,$1.04,20.2
2016-12-31,20.29,$0.88,23.09
2016-09-30,14.22,$2.42,5.88
2016-06-30,12.56,$1.80,6.98
2016-03-31,13.56,$2.48,5.47
2015-12-31,13.1,$1.93,6.79
2015-09-30,11.76,$1.58,7.43
2015-06-30,12.67,$1.55,8.16
2015-03-31,12.15,$1.46,8.3
2014-12-31,12.7,$1.91,6.66
2014-09-30,12.06,$1.98,6.09
2014-06-30,11.3,$2.31,4.9
2014-03-31,11.33,$2.18,5.2
2013-12-31,11.4,$2.34,4.87
2013-09-30,11.1,$2.42,4.59
2013-06-30,10.4,$2.59,4.01
2013-03-31,9.2,$2.47,3.73
2012-12-31,7.96,$2.50,3.18
2012-09-30,8.49,$2.47,3.44
2012-06-30,6.82,$2.02,3.38
2012-03-31,6.72,$2.08,3.23
2011-12-31,5.98,$2.27,2.64
2011-09-30,6.18,$2.15,2.87
2011-06-30,7.61,$2.68,2.84
2011-03-31,7.47,$2.41,3.1
2010-12-31,7.13,$2.42,2.94
2010-09-30,8.16,$1.94,4.2
2010-06-30,7.56,$1.44,5.25
2010-03-31,8.44,$1.98,4.25
2009-12-31,4.97,$1.94,2.56
