Baker Hughes Price to Free Cash Flow Ratio Historical Data,Baker Hughes Price to Free Cash Flow Ratio Historical Data,Baker Hughes Price to Free Cash Flow Ratio Historical Data,Baker Hughes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,44.69,,19.82
2024-12-31,41.02,$2.25,18.19
2024-09-30,35.95,$1.99,18.06
2024-06-30,34.76,$1.82,19.15
2024-03-31,32.9,$2.32,14.17
2023-12-31,33.33,$2.02,16.53
2023-09-30,34.24,$2.06,16.59
2023-06-30,30.48,$1.90,16.07
2023-03-31,27.64,$1.44,19.26
2022-12-31,28.11,$1.13,24.86
2022-09-30,19.82,$1.29,15.32
2022-06-30,27.1,$1.17,23.14
2022-03-31,34.01,$1.44,23.61
2021-12-31,22.33,$2.22,10.04
2021-09-30,22.79,$1.76,12.97
2021-06-30,20.9,$1.53,13.63
2021-03-31,19.6,$1.20,16.27
2020-12-31,18.77,$0.77,24.5
2020-09-30,11.82,$2.28,5.19
2020-06-30,13.55,$2.52,5.38
2020-03-31,9.13,$3.11,2.94
2019-12-31,22.11,$2.06,10.71
2019-09-30,19.85,$2.19,9.07
2019-06-30,20.91,$2.24,9.33
2019-03-31,23.36,$1.51,15.47
2018-12-31,17.98,$2.86,6.3
2018-09-30,28.08,$-0.02,0.0
2018-06-30,27.27,$-1.29,0.0
2018-03-31,22.82,$-2.49,0.0
2017-12-31,25.85,$-3.03,0.0
2017-09-30,29.74,$-0.99,0.0
2017-06-30,29.97,$-9.14,0.0
2017-03-31,32.89,$0.23,141.18
2016-12-31,35.73,$0.00,0.0
2016-09-30,27.75,$-2.96,0.0
2016-06-30,24.82,$6.91,3.59
2016-03-31,24.1,$-0.28,0.0
2015-12-31,25.38,$-0.00,0.0
2015-09-30,28.62,$3.69,7.76
2015-06-30,33.93,$4.55,7.45
2015-03-31,34.96,$3.77,9.26
2014-12-31,30.83,$3.64,8.46
2014-09-30,35.78,$3.20,11.17
2014-06-30,40.94,$3.03,13.49
2014-03-31,35.75,$3.39,10.55
2013-12-31,30.39,$3.45,8.81
2013-09-30,26.93,$2.58,10.45
2013-06-30,25.22,$1.47,17.11
2013-03-31,25.29,$-0.11,0.0
2012-12-31,22.19,$-1.56,0.0
2012-09-30,24.48,$-1.96,0.0
2012-06-30,22.17,$-2.90,0.0
2012-03-31,22.55,$-2.30,0.0
2011-12-31,26.07,$-1.47,0.0
2011-09-30,24.67,$-2.10,0.0
2011-06-30,38.7,$-1.45,0.0
2011-03-31,39.08,$-1.27,0.0
2010-12-31,30.36,$-1.08,0.0
2010-09-30,22.55,$-0.35,0.0
2010-06-30,21.94,$0.21,106.03
2010-03-31,24.64,$1.21,20.3
2009-12-31,21.22,$1.02,20.89
