AMCON Distributing Price to Free Cash Flow Ratio Historical Data,AMCON Distributing Price to Free Cash Flow Ratio Historical Data,AMCON Distributing Price to Free Cash Flow Ratio Historical Data,AMCON Distributing Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,116.02,,18.29
2024-12-31,128.16,$6.34,20.21
2024-09-30,144.75,$78.87,1.84
2024-06-30,140.1,$26.24,5.34
2024-03-31,183.32,$16.46,11.14
2023-12-31,194.1,$100.48,1.93
2023-09-30,204.86,$13.95,14.68
2023-06-30,201.72,$30.60,6.59
2023-03-31,165.79,$60.10,2.76
2022-12-31,179.5,$-68.69,0.0
2022-09-30,208.06,$14.32,14.53
2022-06-30,161.37,$2.62,61.48
2022-03-31,153.58,$19.89,7.72
2021-12-31,197.06,$-14.89,0.0
2021-09-30,143.07,$34.27,4.17
2021-06-30,146.89,$14.40,10.2
2021-03-31,109.89,$25.85,4.25
2020-12-31,113.78,$20.61,5.52
2020-09-30,59.13,$20.93,2.82
2020-06-30,51.43,$-11.60,0.0
2020-03-31,57.36,$-30.43,0.0
2019-12-31,65.16,$0.03,2049.05
2019-09-30,68.82,$-25.97,0.0
2019-06-30,86.34,$-9.18,0.0
2019-03-31,80.18,$40.34,1.99
2018-12-31,89.42,$1.80,49.62
2018-09-30,77.78,$3.98,19.55
2018-06-30,78.56,$-0.47,0.0
2018-03-31,80.18,$-33.63,0.0
2017-12-31,86.73,$-2.04,0.0
2017-09-30,81.6,$-23.52,0.0
2017-06-30,93.14,$8.50,10.96
2017-03-31,87.33,$24.23,3.6
2016-12-31,101.18,$9.41,10.75
2016-09-30,79.66,$23.68,3.36
2016-06-30,78.33,$10.47,7.48
2016-03-31,71.18,$26.52,2.68
2015-12-31,69.68,$19.25,3.62
2015-09-30,69.22,$-4.78,0.0
2015-06-30,68.69,$10.77,6.38
2015-03-31,69.26,$-13.25,0.0
2014-12-31,68.76,$15.00,4.58
2014-09-30,72.69,$6.88,10.56
2014-06-30,69.96,$16.97,4.12
2014-03-31,73.09,$3.11,23.52
2013-12-31,68.11,$7.18,9.48
2013-09-30,69.62,$5.05,13.78
2013-06-30,67.65,$7.25,9.33
2013-03-31,65.24,$7.26,8.98
2012-12-31,54.4,$3.40,16.0
2012-09-30,54.7,$10.90,5.02
2012-06-30,47.17,$25.44,1.85
2012-03-31,53.14,$16.14,3.29
2011-12-31,53.75,$5.80,9.27
2011-09-30,47.42,$18.26,2.6
2011-06-30,57.6,$-3.46,0.0
2011-03-31,66.35,$16.17,4.1
2010-12-31,66.05,$13.00,5.08
2010-09-30,50.82,$11.41,4.45
2010-06-30,46.59,$1.20,38.98
2010-03-31,48.73,$-0.36,0.0
2009-12-31,53.79,$21.87,2.46
