Oxbridge Re Holdings Price to Free Cash Flow Ratio Historical Data,Oxbridge Re Holdings Price to Free Cash Flow Ratio Historical Data,Oxbridge Re Holdings Price to Free Cash Flow Ratio Historical Data,Oxbridge Re Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.34,,0.0
2024-09-30,2.78,$-0.19,0.0
2024-06-30,2.38,$-0.23,0.0
2024-03-31,1.06,$-0.17,0.0
2023-12-31,1.1,$-0.22,0.0
2023-09-30,1.4,$-0.26,0.0
2023-06-30,1.8,$-0.34,0.0
2023-03-31,1.75,$-0.16,0.0
2022-12-31,1.2,$-0.14,0.0
2022-09-30,2.13,$-0.14,0.0
2022-06-30,3.34,$-0.09,0.0
2022-03-31,5.47,$-0.04,0.0
2021-12-31,5.62,$-0.04,0.0
2021-09-30,2.95,$-0.02,0.0
2021-06-30,2.62,$-0.03,0.0
2021-03-31,2.53,$-0.06,0.0
2020-12-31,1.87,$-0.05,0.0
2020-09-30,1.76,$-0.04,0.0
2020-06-30,1.4,$-0.04,0.0
2020-03-31,0.87,$-0.02,0.0
2019-12-31,0.75,$-0.76,0.0
2019-09-30,0.83,$-1.54,0.0
2019-06-30,1.16,$-1.67,0.0
2019-03-31,1.1,$-1.95,0.0
2018-12-31,0.63,$-1.16,0.0
2018-09-30,1.85,$-3.07,0.0
2018-06-30,1.75,$-5.31,0.0
2018-03-31,2.25,$-4.48,0.0
2017-12-31,2.15,$-4.53,0.0
2017-09-30,3.9,$-1.98,0.0
2017-06-30,5.52,$0.38,14.53
2017-03-31,6.28,$-0.36,0.0
2016-12-31,5.64,$0.07,83.9
2016-09-30,4.6,$0.57,8.13
2016-06-30,4.52,$1.22,3.7
2016-03-31,4.49,$1.35,3.33
2015-12-31,4.9,$1.30,3.76
2015-09-30,5.02,$1.26,3.98
2015-06-30,4.99,$1.63,3.07
2015-03-31,4.78,$1.01,4.75
2014-12-31,4.65,$1.45,3.22
