Pixelworks Price to Free Cash Flow Ratio Historical Data,Pixelworks Price to Free Cash Flow Ratio Historical Data,Pixelworks Price to Free Cash Flow Ratio Historical Data,Pixelworks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.74,,0.0
2024-12-31,0.73,$-0.40,0.0
2024-09-30,0.71,$-0.34,0.0
2024-06-30,0.98,$-0.27,0.0
2024-03-31,2.58,$-0.27,0.0
2023-12-31,1.31,$-0.40,0.0
2023-09-30,1.13,$-0.40,0.0
2023-06-30,1.73,$-0.36,0.0
2023-03-31,1.48,$-0.31,0.0
2022-12-31,1.77,$-0.27,0.0
2022-09-30,1.61,$-0.37,0.0
2022-06-30,1.91,$-0.28,0.0
2022-03-31,2.97,$-0.21,0.0
2021-12-31,4.4,$-0.24,0.0
2021-09-30,4.78,$-0.12,0.0
2021-06-30,3.41,$-0.31,0.0
2021-03-31,3.31,$-0.31,0.0
2020-12-31,2.82,$-0.16,0.0
2020-09-30,2.05,$-0.35,0.0
2020-06-30,3.23,$-0.25,0.0
2020-03-31,2.85,$-0.23,0.0
2019-12-31,3.92,$-0.34,0.0
2019-09-30,3.7,$-0.13,0.0
2019-06-30,2.95,$-0.01,0.0
2019-03-31,3.92,$0.00,0.0
2018-12-31,2.9,$-0.03,0.0
2018-09-30,4.51,$0.01,0.0
2018-06-30,3.61,$-0.18,0.0
2018-03-31,3.87,$0.23,16.88
2017-12-31,6.33,$0.31,20.53
2017-09-30,4.71,$0.36,13.23
2017-06-30,4.59,$0.41,11.2
2017-03-31,4.66,$-0.05,0.0
2016-12-31,2.8,$-0.13,0.0
2016-09-30,2.79,$-0.32,0.0
2016-06-30,1.84,$-0.36,0.0
2016-03-31,2.19,$-0.32,0.0
2015-12-31,2.38,$-0.27,0.0
2015-09-30,3.61,$-0.19,0.0
2015-06-30,5.88,$-0.16,0.0
2015-03-31,5.02,$-0.18,0.0
2014-12-31,4.56,$-0.05,0.0
2014-09-30,6.46,$-0.20,0.0
2014-06-30,7.57,$0.12,60.85
2014-03-31,5.54,$0.04,148.53
2013-12-31,4.82,$-0.14,0.0
2013-09-30,4.02,$-0.06,0.0
2013-06-30,3.42,$-0.32,0.0
2013-03-31,2.22,$0.01,0.0
2012-12-31,2.24,$-0.00,0.0
2012-09-30,2.95,$0.01,0.0
2012-06-30,2.42,$0.05,52.16
2012-03-31,2.28,$-0.19,0.0
2011-12-31,2.42,$-0.19,0.0
2011-09-30,2.1,$-0.33,0.0
2011-06-30,2.45,$-0.43,0.0
2011-03-31,3.6,$-0.18,0.0
2010-12-31,3.48,$-0.09,0.0
2010-09-30,3.4,$0.27,12.42
2010-06-30,2.98,$0.42,7.04
2010-03-31,5.75,$0.31,18.33
2009-12-31,3.04,$0.04,79.37
