Kandi Technologies Price to Free Cash Flow Ratio Historical Data,Kandi Technologies Price to Free Cash Flow Ratio Historical Data,Kandi Technologies Price to Free Cash Flow Ratio Historical Data,Kandi Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.51,,0.0
2024-09-30,2.06,$-0.13,0.0
2024-06-30,2.19,$-0.09,0.0
2023-12-31,2.8,$-1.43,0.0
2023-09-30,3.46,$0.38,9.02
2023-06-30,3.96,$0.21,18.51
2023-03-31,2.76,$0.39,7.13
2022-12-31,2.3,$0.37,6.28
2022-09-30,2.11,$0.38,5.5
2022-06-30,2.4,$0.33,7.32
2022-03-31,3.2,$0.37,8.59
2021-12-31,3.21,$0.09,36.15
2021-09-30,4.45,$-1.06,0.0
2021-06-30,5.98,$-0.20,0.0
2021-03-31,6.25,$0.06,112.82
2020-12-31,6.9,$-0.24,0.0
2020-09-30,6.2,$0.39,15.95
2020-06-30,4.2,$0.06,69.77
2020-03-31,2.62,$-0.81,0.0
2019-12-31,4.73,$-0.58,0.0
2019-09-30,4.66,$-0.02,0.0
2019-06-30,4.93,$-0.38,0.0
2019-03-31,5.61,$-0.01,0.0
2018-12-31,3.63,$0.25,14.76
2018-09-30,4.85,$-0.07,0.0
2018-06-30,4.25,$-0.04,0.0
2018-03-31,4.85,$0.20,24.86
2017-12-31,6.8,$-0.10,0.0
2017-09-30,5.75,$-0.67,0.0
2017-06-30,4.45,$-1.13,0.0
2017-03-31,3.8,$-1.39,0.0
2016-12-31,4.9,$-1.18,0.0
2016-09-30,5.49,$-0.66,0.0
2016-06-30,7.15,$0.04,181.01
2016-03-31,7.2,$-0.03,0.0
2015-12-31,10.9,$-0.13,0.0
2015-09-30,5.25,$-0.30,0.0
2015-06-30,9.04,$-0.72,0.0
2015-03-31,12.39,$-1.48,0.0
2014-12-31,14.01,$-1.35,0.0
2014-09-30,12.99,$-1.23,0.0
2014-06-30,14.14,$0.01,1219.08
2014-03-31,16.4,$0.35,47.28
2013-12-31,11.79,$0.42,28.2
2013-09-30,7.78,$0.42,18.63
2013-06-30,5.62,$-0.69,0.0
2013-03-31,3.88,$-0.52,0.0
2012-12-31,3.99,$-0.67,0.0
2012-09-30,4.02,$-0.45,0.0
2012-06-30,3.09,$-0.25,0.0
2012-03-31,3.42,$0.25,13.67
2011-12-31,3.7,$0.08,49.33
2011-09-30,2.16,$-0.25,0.0
2011-06-30,1.81,$-0.27,0.0
2011-03-31,3.07,$-0.33,0.0
2010-12-31,5.27,$0.04,137.24
2010-09-30,4.22,$0.12,35.7
2010-06-30,3.13,$0.00,0.0
2010-03-31,4.92,$-0.32,0.0
2009-12-31,4.4,$-0.59,0.0
