WisdomTree Price to Free Cash Flow Ratio Historical Data,WisdomTree Price to Free Cash Flow Ratio Historical Data,WisdomTree Price to Free Cash Flow Ratio Historical Data,WisdomTree Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.78,,12.57
2024-12-31,10.5,$0.70,15.03
2024-09-30,9.96,$0.75,13.26
2024-06-30,9.85,$0.55,17.86
2024-03-31,9.11,$0.51,17.76
2023-12-31,6.84,$0.49,13.98
2023-09-30,6.88,$0.35,19.77
2023-06-30,6.71,$0.41,16.36
2023-03-31,5.7,$0.33,17.25
2022-12-31,5.28,$0.35,15.28
2022-09-30,4.51,$0.42,10.68
2022-06-30,4.85,$0.38,12.68
2022-03-31,5.59,$0.43,12.92
2021-12-31,5.8,$0.47,12.46
2021-09-30,5.35,$0.41,13.09
2021-06-30,5.82,$0.32,18.05
2021-03-31,5.84,$0.35,16.92
2020-12-31,4.97,$0.31,15.84
2020-09-30,2.95,$0.34,8.7
2020-06-30,3.18,$0.41,7.7
2020-03-31,2.11,$0.31,6.73
2019-12-31,4.36,$0.38,11.52
2019-09-30,4.68,$0.31,14.96
2019-06-30,5.49,$0.27,20.14
2019-03-31,6.26,$0.32,19.64
2018-12-31,5.87,$0.24,24.85
2018-09-30,7.45,$0.31,24.15
2018-06-30,7.95,$0.28,28.04
2018-03-31,8.01,$0.30,26.5
2017-12-31,10.93,$0.35,30.83
2017-09-30,8.81,$0.30,28.99
2017-06-30,8.73,$0.31,27.89
2017-03-31,7.72,$0.37,21.06
2016-12-31,9.39,$0.40,23.63
2016-09-30,8.59,$0.63,13.56
2016-06-30,8.11,$0.84,9.7
2016-03-31,9.4,$1.02,9.19
2015-12-31,12.79,$1.10,11.65
2015-09-30,12.95,$0.97,13.35
2015-06-30,17.59,$0.82,21.33
2015-03-31,17.11,$0.64,26.67
2014-12-31,12.45,$0.56,22.18
2014-09-30,8.99,$0.50,17.94
2014-06-30,9.76,$0.46,21.28
2014-03-31,10.36,$0.43,24.3
2013-12-31,13.99,$0.46,30.6
2013-09-30,9.16,$0.36,25.49
2013-06-30,9.14,$0.23,40.28
2013-03-31,8.22,$0.13,61.22
2012-12-31,4.83,$0.08,60.43
2012-09-30,5.29,$0.08,62.64
2012-06-30,5.19,$0.13,38.67
2012-03-31,6.61,$0.12,57.25
2011-12-31,4.78,$0.10,47.7
2011-09-30,5.55,$0.07,82.52
2011-06-30,5.01,$0.02,250.42
