Upbound Price to Free Cash Flow Ratio Historical Data,Upbound Price to Free Cash Flow Ratio Historical Data,Upbound Price to Free Cash Flow Ratio Historical Data,Upbound Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.63,,20.52
2024-12-31,29.17,$1.20,24.3
2024-09-30,31.6,$2.00,15.79
2024-06-30,30.32,$1.15,26.38
2024-03-31,34.0,$1.62,20.96
2023-12-31,32.8,$2.72,12.07
2023-09-30,27.8,$3.59,7.75
2023-06-30,29.38,$4.79,6.13
2023-03-31,22.57,$5.09,4.43
2022-12-31,20.76,$6.90,3.01
2022-09-30,15.58,$7.37,2.11
2022-06-30,17.31,$5.91,2.93
2022-03-31,21.75,$6.57,3.31
2021-12-31,41.47,$4.94,8.4
2021-09-30,48.18,$3.07,15.71
2021-06-30,45.26,$2.85,15.87
2021-03-31,48.64,$5.07,9.59
2020-12-31,32.3,$3.88,8.32
2020-09-30,24.76,$5.49,4.51
2020-06-30,22.79,$5.58,4.08
2020-03-31,11.45,$3.93,2.91
2019-12-31,23.11,$4.72,4.9
2019-09-30,20.67,$5.04,4.1
2019-06-30,21.13,$4.99,4.23
2019-03-31,16.56,$4.00,4.14
2018-12-31,12.85,$4.12,3.12
2018-09-30,11.41,$2.55,4.47
2018-06-30,11.68,$2.18,5.37
2018-03-31,6.85,$1.81,3.78
2017-12-31,8.81,$0.92,9.54
2017-09-30,9.11,$1.00,9.09
2017-06-30,9.3,$1.77,5.25
2017-03-31,6.99,$2.32,3.01
2016-12-31,8.73,$5.61,1.56
2016-09-30,9.81,$5.60,1.75
2016-06-30,9.47,$5.52,1.71
2016-03-31,12.14,$3.11,3.9
2015-12-31,11.41,$3.13,3.65
2015-09-30,18.2,$2.67,6.82
2015-06-30,21.06,$1.29,16.28
2015-03-31,20.21,$1.24,16.25
2014-12-31,26.52,$-0.94,0.0
2014-09-30,22.02,$-0.90,0.0
2014-06-30,20.65,$0.11,191.2
2014-03-31,18.84,$1.05,17.89
2013-12-31,23.61,$0.83,28.34
2013-09-30,26.8,$0.69,39.0
2013-06-30,26.26,$1.43,18.32
2013-03-31,25.54,$1.78,14.34
2012-12-31,23.76,$2.03,11.72
2012-09-30,24.08,$2.81,8.56
2012-06-30,23.06,$2.61,8.84
2012-03-31,25.59,$2.46,10.39
2011-12-31,25.09,$2.49,10.07
2011-09-30,18.43,$2.71,6.8
2011-06-30,20.51,$2.78,7.39
2011-03-31,23.27,$2.92,7.98
2010-12-31,21.48,$1.88,11.44
2010-09-30,14.86,$2.34,6.36
2010-06-30,13.41,$2.11,6.37
2010-03-31,15.66,$2.89,5.41
2009-12-31,11.73,$3.97,2.95
