Genelux Price to Free Cash Flow Ratio Historical Data,Genelux Price to Free Cash Flow Ratio Historical Data,Genelux Price to Free Cash Flow Ratio Historical Data,Genelux Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.98,,0.0
2024-09-30,2.37,$-0.83,0.0
2024-06-30,1.95,$-0.84,0.0
2024-03-31,6.43,$-0.80,0.0
2023-12-31,14.01,$-0.87,0.0
