Kraft Heinz Price to Free Cash Flow Ratio Historical Data,Kraft Heinz Price to Free Cash Flow Ratio Historical Data,Kraft Heinz Price to Free Cash Flow Ratio Historical Data,Kraft Heinz Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.71,,11.42
2024-12-31,30.71,$2.60,11.81
2024-09-30,34.68,$2.58,13.46
2024-06-30,31.47,$2.49,12.64
2024-03-31,35.63,$2.61,13.64
2023-12-31,35.29,$2.40,14.71
2023-09-30,31.74,$2.03,15.66
2023-06-30,33.1,$1.84,17.96
2023-03-31,35.68,$1.21,29.37
2022-12-31,37.17,$1.26,29.56
2022-09-30,30.14,$2.88,10.47
2022-06-30,34.11,$2.59,13.18
2022-03-31,34.86,$3.36,10.38
2021-12-31,31.43,$3.61,8.71
2021-09-30,31.88,$2.60,12.28
2021-06-30,34.92,$3.23,10.8
2021-03-31,33.94,$3.94,8.62
2020-12-31,29.1,$3.53,8.25
2020-09-30,24.84,$3.51,7.09
2020-06-30,26.15,$3.16,8.28
2020-03-31,20.02,$2.30,8.72
2019-12-31,25.5,$2.27,11.21
2019-09-30,21.89,$2.37,9.24
2019-06-30,23.94,$2.35,10.2
2019-03-31,24.82,$1.34,18.48
2018-12-31,32.31,$1.45,22.3
2018-09-30,40.88,$0.44,93.09
2018-06-30,46.12,$-0.04,0.0
2018-03-31,45.24,$0.39,117.14
2017-12-31,55.95,$-0.56,0.0
2017-09-30,55.37,$0.22,246.85
2017-06-30,60.7,$-0.86,0.0
2017-03-31,63.94,$0.37,172.91
2016-12-31,61.08,$1.14,53.45
2016-09-30,62.16,$0.61,102.27
2016-06-30,61.03,$2.09,29.21
