New York Mortgage Trust Price to Free Cash Flow Ratio Historical Data,New York Mortgage Trust Price to Free Cash Flow Ratio Historical Data,New York Mortgage Trust Price to Free Cash Flow Ratio Historical Data,New York Mortgage Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.88,,4.26
2024-12-31,6.06,$1.61,3.75
2024-09-30,6.33,$1.27,4.97
2024-06-30,5.66,$0.52,10.95
2024-03-31,6.75,$2.37,2.85
2023-12-31,7.77,$2.21,3.51
2023-09-30,7.56,$1.83,4.14
2023-06-30,8.55,$2.48,3.44
2023-03-31,8.33,$0.27,31.35
2022-12-31,8.2,$-0.11,0.0
2022-09-30,7.23,$0.47,15.31
2022-06-30,8.18,$-0.39,0.0
2022-03-31,10.44,$0.42,25.14
2021-12-31,10.35,$1.35,7.65
2021-09-30,11.55,$1.23,9.39
2021-06-30,11.85,$1.61,7.34
2021-03-31,11.59,$1.28,9.06
2020-12-31,9.36,$1.25,7.46
2020-09-30,6.3,$0.96,6.58
2020-06-30,6.25,$0.91,6.9
2020-03-31,3.64,$0.65,5.62
2019-12-31,14.64,$0.66,22.29
2019-09-30,13.87,$-0.25,0.0
2019-06-30,13.66,$-0.52,0.0
2019-03-31,13.0,$-0.34,0.0
2018-12-31,12.17,$0.64,18.92
2018-09-30,12.16,$1.46,8.32
2018-06-30,11.64,$1.80,6.45
2018-03-31,11.11,$1.84,6.05
2017-12-31,11.18,$0.89,12.54
2017-09-30,10.8,$1.20,8.96
2017-06-30,10.58,$1.55,6.83
2017-03-31,10.17,$1.62,6.27
2016-12-31,10.54,$2.04,5.16
2016-09-30,9.28,$1.92,4.83
2016-06-30,9.05,$1.68,5.37
2016-03-31,6.76,$1.81,3.73
2015-12-31,7.22,$1.34,5.39
2015-09-30,7.15,$1.49,4.79
2015-06-30,9.37,$1.51,6.22
2015-03-31,9.39,$1.37,6.86
2014-12-31,9.02,$1.71,5.28
2014-09-30,8.17,$2.04,4.0
2014-06-30,8.52,$2.43,3.5
2014-03-31,8.2,$3.22,2.55
2013-12-31,7.12,$3.61,1.97
2013-09-30,6.12,$4.91,1.25
2013-06-30,6.38,$2.94,2.17
2013-03-31,6.83,$3.64,1.87
2012-12-31,5.52,$4.46,1.24
2012-09-30,5.9,$4.81,1.23
2012-06-30,5.68,$7.11,0.8
2012-03-31,5.08,$7.45,0.68
2011-12-31,5.4,$5.11,1.06
2011-09-30,4.97,$2.10,2.37
2011-06-30,5.14,$0.89,5.76
2011-03-31,4.72,$-0.92,0.0
2010-12-31,4.53,$-0.10,0.0
2010-09-30,3.86,$1.28,3.01
2010-06-30,3.97,$2.57,1.55
2010-03-31,4.53,$3.13,1.45
2009-12-31,4.03,$3.97,1.02
