Retractable Technologies Price to Free Cash Flow Ratio Historical Data,Retractable Technologies Price to Free Cash Flow Ratio Historical Data,Retractable Technologies Price to Free Cash Flow Ratio Historical Data,Retractable Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.73,,0.0
2024-09-30,0.77,$-0.33,0.0
2024-06-30,1.08,$0.14,7.58
2024-03-31,1.2,$0.13,9.38
2023-12-31,1.11,$0.06,17.37
2023-09-30,1.19,$0.28,4.22
2023-06-30,1.15,$-0.32,0.0
2023-03-31,1.75,$-0.62,0.0
2022-12-31,1.64,$-0.00,0.0
2022-09-30,1.98,$-0.20,0.0
2022-06-30,3.83,$-0.48,0.0
2022-03-31,4.75,$-0.38,0.0
2021-12-31,6.93,$-0.75,0.0
2021-09-30,11.03,$-0.87,0.0
2021-06-30,11.56,$-0.25,0.0
2021-03-31,12.82,$-0.00,0.0
2020-12-31,10.74,$-0.06,0.0
2020-09-30,6.66,$-0.00,0.0
2020-06-30,7.02,$0.08,89.31
2020-03-31,1.56,$0.13,12.11
2019-12-31,1.5,$0.05,31.38
2019-09-30,1.15,$0.00,0.0
2019-06-30,0.72,$-0.03,0.0
2019-03-31,0.64,$-0.08,0.0
2018-12-31,0.6,$-0.05,0.0
2018-09-30,0.72,$-0.05,0.0
2018-06-30,0.74,$-0.08,0.0
2018-03-31,1.03,$-0.05,0.0
2017-12-31,0.68,$-0.09,0.0
2017-09-30,0.67,$-0.05,0.0
2017-06-30,1.27,$-0.11,0.0
2017-03-31,1.11,$-0.13,0.0
2016-12-31,0.93,$-0.09,0.0
2016-09-30,2.56,$-0.16,0.0
2016-06-30,2.52,$-0.13,0.0
2016-03-31,2.15,$-0.16,0.0
2015-12-31,3.1,$-0.16,0.0
2015-09-30,3.62,$-0.13,0.0
2015-06-30,3.8,$-0.09,0.0
2015-03-31,3.88,$-0.05,0.0
2014-12-31,5.0,$-0.18,0.0
2014-09-30,2.9,$-0.17,0.0
2014-06-30,2.5,$0.13,18.94
2014-03-31,3.79,$0.05,69.93
2013-12-31,3.08,$0.10,31.36
2013-09-30,3.11,$0.14,22.07
2013-06-30,1.44,$-0.12,0.0
2013-03-31,1.06,$-0.10,0.0
2012-12-31,0.87,$-0.01,0.0
2012-09-30,1.15,$-0.04,0.0
2012-06-30,0.98,$-0.06,0.0
2012-03-31,1.35,$0.13,10.6
2011-12-31,1.18,$0.18,6.63
2011-09-30,1.35,$0.32,4.19
2011-06-30,1.54,$0.65,2.37
2011-03-31,1.65,$0.32,5.09
2010-12-31,1.75,$0.33,5.37
2010-09-30,1.57,$0.20,7.74
2010-06-30,1.61,$-0.29,0.0
2010-03-31,1.55,$-0.37,0.0
2009-12-31,1.64,$-0.62,0.0
