Senestech Price to Free Cash Flow Ratio Historical Data,Senestech Price to Free Cash Flow Ratio Historical Data,Senestech Price to Free Cash Flow Ratio Historical Data,Senestech Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.22,,0.0
2024-12-31,3.31,$-8.72,0.0
2024-09-30,2.58,$40.82,0.06
2024-06-30,5.76,$36.57,0.16
2024-03-31,6.83,$-0.84,0.0
2023-12-31,12.7,$-115.17,0.0
2023-09-30,50.4,$-230.84,0.0
2023-06-30,134.4,$-660.48,0.0
2023-03-31,178.8,"$-1,051.59",0.0
2022-12-31,370.8,"$-1,345.69",0.0
2022-09-30,841.2,"$-1,762.94",0.0
2022-06-30,1265.76,"$-1,728.61",0.0
2022-03-31,1752.0,"$-1,488.90",0.0
2021-12-31,2349.12,"$-1,690.05",0.0
2021-09-30,3624.0,"$-1,205.39",0.0
2021-06-30,3864.0,$-806.23,0.0
2021-03-31,3984.0,$-614.40,0.0
2020-12-31,4140.0,$-2.39,0.0
2020-09-30,4512.0,$-3.44,0.0
2020-06-30,4800.0,$-4.30,0.0
2020-03-31,4968.0,$-5.71,0.0
2019-12-31,26400.0,$-6.24,0.0
2019-09-30,48480.0,$-13.56,0.0
2019-06-30,86400.0,$-12.43,0.0
2019-03-31,58560.0,$-11.00,0.0
2018-12-31,28089.6,$-9.48,0.0
2018-09-30,33120.0,$-0.45,0.0
2018-06-30,78240.0,$-0.57,0.0
2018-03-31,24480.0,$-0.73,0.0
2017-12-31,34560.0,$-0.94,0.0
2017-09-30,88800.0,$-1.87,0.0
