Value Line Price to Free Cash Flow Ratio Historical Data,Value Line Price to Free Cash Flow Ratio Historical Data,Value Line Price to Free Cash Flow Ratio Historical Data,Value Line Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,37.14,,5.67
2025-01-31,39.3,$6.55,6.0
2024-10-31,48.35,$6.05,8.0
2024-07-31,46.97,$5.80,8.1
2024-04-30,35.76,$5.83,6.13
2024-01-31,43.7,$5.34,8.19
2023-10-31,39.87,$2.66,14.99
2023-07-31,51.78,$2.93,17.67
2023-04-30,44.04,$2.95,14.91
2023-01-31,49.42,$3.05,16.22
2022-10-31,50.99,$2.31,22.09
2022-07-31,82.23,$2.34,35.09
2022-04-30,61.85,$2.84,21.76
2022-01-31,55.51,$1.75,31.66
2021-10-31,32.29,$2.34,13.78
2021-07-31,29.81,$2.20,13.57
2021-04-30,28.26,$1.69,16.71
2021-01-31,28.29,$3.33,8.5
2020-10-31,24.91,$2.92,8.52
2020-07-31,22.33,$2.89,7.73
2020-04-30,27.82,$2.32,11.98
2020-01-31,29.39,$1.40,20.92
2019-10-31,17.94,$0.54,33.51
2019-07-31,22.96,$1.02,22.58
2019-04-30,20.22,$1.17,17.21
2019-01-31,18.57,$1.77,10.52
2018-10-31,21.66,$1.72,12.57
2018-07-31,19.56,$1.05,18.67
2018-04-30,16.58,$1.33,12.49
2018-01-31,16.03,$1.57,10.19
2017-10-31,14.79,$1.37,10.79
2017-07-31,14.47,$2.23,6.5
2017-04-30,14.16,$1.51,9.39
2017-01-31,13.97,$0.63,22.2
2016-10-31,14.22,$0.75,18.91
2016-07-31,14.22,$-0.30,0.0
2016-04-30,12.78,$0.00,0.0
2016-01-31,12.95,$-0.18,0.0
2015-10-31,12.68,$-0.14,0.0
2015-07-31,10.3,$-0.17,0.0
2015-04-30,10.82,$-0.12,0.0
2015-01-31,11.1,$0.01,881.27
2014-10-31,11.44,$0.11,104.88
2014-07-31,12.13,$0.31,39.01
2014-04-30,10.49,$0.08,129.08
2014-01-31,8.89,$-0.04,0.0
2013-10-31,6.58,$-0.18,0.0
2013-07-31,6.28,$-0.22,0.0
2013-04-30,6.39,$-0.16,0.0
2013-01-31,6.5,$-0.08,0.0
2012-10-31,6.58,$0.09,76.89
2012-07-31,7.73,$-0.30,0.0
2012-04-30,7.84,$-0.11,0.0
2012-01-31,7.14,$0.09,79.96
2011-10-31,7.91,$0.09,83.65
2011-07-31,6.67,$0.64,10.45
2011-04-30,8.52,$0.88,9.71
2011-01-31,7.91,$2.03,3.9
2010-10-31,10.14,$-2.00,0.0
2010-07-31,7.33,$-1.05,0.0
2010-04-30,11.29,$-0.95,0.0
2010-01-31,11.7,$2.58,4.54
2009-10-31,14.08,$7.36,1.91
