Neonode Price to Free Cash Flow Ratio Historical Data,Neonode Price to Free Cash Flow Ratio Historical Data,Neonode Price to Free Cash Flow Ratio Historical Data,Neonode Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.33,,0.0
2024-09-30,9.1,$-0.42,0.0
2024-06-30,2.07,$-0.46,0.0
2024-03-31,1.4,$-0.43,0.0
2023-12-31,2.29,$-0.42,0.0
2023-09-30,1.6,$-0.35,0.0
2023-06-30,8.08,$-0.27,0.0
2023-03-31,7.61,$-0.45,0.0
2022-12-31,5.5,$-0.50,0.0
2022-09-30,3.5,$-0.64,0.0
2022-06-30,5.12,$-0.74,0.0
2022-03-31,6.08,$-0.64,0.0
2021-12-31,8.85,$-0.65,0.0
2021-09-30,10.09,$-0.65,0.0
2021-06-30,6.17,$-0.67,0.0
2021-03-31,9.37,$-0.65,0.0
2020-12-31,6.75,$-0.58,0.0
2020-09-30,7.9,$-0.44,0.0
2020-06-30,8.56,$-0.44,0.0
2020-03-31,1.77,$-0.46,0.0
2019-12-31,1.94,$-0.41,0.0
2019-09-30,2.39,$-0.44,0.0
2019-06-30,2.15,$-0.43,0.0
2019-03-31,3.16,$-0.46,0.0
2018-12-31,1.66,$-0.53,0.0
2018-09-30,3.5,$-0.63,0.0
2018-06-30,3.78,$-0.70,0.0
2018-03-31,4.21,$-0.95,0.0
2017-12-31,7.43,$-1.18,0.0
2017-09-30,12.8,$-1.56,0.0
2017-06-30,10.8,$-1.79,0.0
2017-03-31,16.0,$-1.90,0.0
2016-12-31,18.4,$-1.58,0.0
2016-09-30,11.4,$-1.75,0.0
2016-06-30,14.6,$-1.83,0.0
2016-03-31,20.4,$-1.64,0.0
2015-12-31,25.3,$-2.01,0.0
2015-09-30,24.4,$-2.00,0.0
2015-06-30,29.5,$-2.17,0.0
2015-03-31,31.7,$-2.70,0.0
2014-12-31,33.8,$-3.02,0.0
2014-09-30,21.5,$-2.92,0.0
2014-06-30,31.3,$-2.88,0.0
2014-03-31,56.9,$-2.74,0.0
2013-12-31,63.2,$-2.54,0.0
2013-09-30,64.2,$-2.54,0.0
2013-06-30,59.5,$-1.95,0.0
2013-03-31,57.7,$-1.83,0.0
2012-12-31,48.6,$-1.23,0.0
2012-09-30,37.7,$-1.37,0.0
2012-06-30,61.5,$-0.72,0.0
2012-03-31,36.3,$-0.61,0.0
2011-12-31,47.5,$-1.33,0.0
2011-09-30,47.0,$-1.48,0.0
2011-06-30,37.0,$-2.03,0.0
2011-03-31,33.5,$-1.99,0.0
2010-12-31,17.5,$-1.75,0.0
2010-09-30,17.5,$-1.77,0.0
2010-06-30,12.5,$-1.34,0.0
2010-03-31,5.0,$3.81,1.31
2009-12-31,5.0,$-1.95,0.0
