UPS Price to Free Cash Flow Ratio Historical Data,UPS Price to Free Cash Flow Ratio Historical Data,UPS Price to Free Cash Flow Ratio Historical Data,UPS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,116.98,,13.65
2024-12-31,126.1,$8.57,14.71
2024-09-30,134.72,$6.37,21.15
2024-06-30,133.53,$5.63,23.72
2024-03-31,143.44,$6.79,21.13
2023-12-31,150.09,$6.14,24.45
2023-09-30,147.07,$6.65,22.12
2023-06-30,167.59,$7.28,23.02
2023-03-31,179.64,$8.28,21.68
2022-12-31,159.57,$10.73,14.87
2022-09-30,146.99,$11.70,12.56
2022-06-30,164.87,$12.55,13.13
2022-03-31,192.06,$13.61,14.11
2021-12-31,190.57,$13.37,14.25
2021-09-30,161.12,$10.32,15.61
2021-06-30,183.04,$10.08,18.16
2021-03-31,148.9,$8.21,18.14
2020-12-31,146.57,$5.84,25.1
2020-09-30,144.14,$8.01,17.99
2020-06-30,95.57,$5.59,17.1
2020-03-31,79.47,$3.65,21.75
2019-12-31,98.57,$2.67,36.86
2019-09-30,100.12,$3.34,29.97
2019-06-30,85.58,$3.92,21.82
2019-03-31,91.71,$5.38,17.04
2018-12-31,79.36,$7.43,10.68
2018-09-30,94.22,$0.63,150.27
2018-06-30,85.09,$0.09,904.29
2018-03-31,83.18,$-0.54,0.0
2017-12-31,93.89,$-4.26,0.0
2017-09-30,93.95,$0.80,117.64
2017-06-30,85.87,$0.57,151.9
2017-03-31,82.66,$0.76,108.89
2016-12-31,87.63,$4.05,21.62
2016-09-30,83.02,$4.40,18.86
2016-06-30,81.2,$6.19,13.13
2016-03-31,78.9,$5.50,14.34
2015-12-31,71.42,$5.60,12.74
2015-09-30,72.73,$6.02,12.08
2015-06-30,70.91,$6.25,11.35
2015-03-31,70.42,$4.24,16.61
2014-12-31,80.18,$3.73,21.47
2014-09-30,70.45,$4.89,14.41
2014-06-30,73.07,$4.16,17.58
2014-03-31,68.86,$6.38,10.8
2013-12-31,73.78,$5.64,13.09
2013-09-30,63.77,$5.41,11.79
2013-06-30,59.92,$4.89,12.25
2013-03-31,59.1,$4.77,12.39
2012-12-31,50.35,$5.32,9.46
2012-09-30,48.48,$4.93,9.84
2012-06-30,52.96,$5.77,9.18
2012-03-31,53.88,$6.18,8.72
2011-12-31,48.49,$5.14,9.43
2011-09-30,41.53,$3.43,12.1
2011-06-30,47.56,$2.75,17.29
2011-03-31,48.13,$2.35,20.49
2010-12-31,46.68,$2.74,17.02
2010-09-30,42.6,$3.85,11.08
2010-06-30,36.07,$3.62,9.97
2010-03-31,40.56,$3.18,12.74
2009-12-31,35.83,$3.73,9.61
