Pasithea Therapeutics Price to Free Cash Flow Ratio Historical Data,Pasithea Therapeutics Price to Free Cash Flow Ratio Historical Data,Pasithea Therapeutics Price to Free Cash Flow Ratio Historical Data,Pasithea Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.18,,0.0
2024-09-30,5.42,$-13.83,0.0
2024-06-30,5.06,$-13.56,0.0
2024-03-31,7.25,$-12.03,0.0
2023-12-31,0.37,$-10.38,0.0
2023-09-30,0.48,$-10.49,0.0
2023-06-30,0.49,$-10.85,0.0
2023-03-31,0.38,$-10.13,0.0
2022-12-31,0.64,$-9.51,0.0
2022-09-30,1.26,$-9.50,0.0
2022-06-30,1.01,$-9.64,0.0
