Longeveron Price to Free Cash Flow Ratio Historical Data,Longeveron Price to Free Cash Flow Ratio Historical Data,Longeveron Price to Free Cash Flow Ratio Historical Data,Longeveron Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.76,,0.0
2024-12-31,1.73,$-1.54,0.0
2024-09-30,1.94,$-2.55,0.0
2024-06-30,1.61,$-5.07,0.0
2024-03-31,3.25,$-7.31,0.0
2023-12-31,1.36,$-8.88,0.0
2023-09-30,2.34,$-8.29,0.0
2023-06-30,3.38,$-8.34,0.0
2023-03-31,2.67,$-7.73,0.0
2022-12-31,3.22,$-6.93,0.0
2022-09-30,3.7,$-6.64,0.0
2022-06-30,5.93,$-5.68,0.0
2022-03-31,13.8,$-5.50,0.0
2021-12-31,12.07,$-5.22,0.0
