Carnival Price to Free Cash Flow Ratio Historical Data,Carnival Price to Free Cash Flow Ratio Historical Data,Carnival Price to Free Cash Flow Ratio Historical Data,Carnival Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.2,,21.87
2024-11-30,25.43,$0.97,26.24
2024-08-31,16.5,$1.05,15.77
2024-05-31,15.08,$1.33,11.35
2024-02-29,15.86,$1.29,12.26
2023-11-30,15.06,$1.06,14.22
2023-08-31,15.82,$-0.38,0.0
2023-05-31,11.23,$-1.70,0.0
2023-02-28,10.62,$-2.62,0.0
2022-11-30,9.93,$-5.54,0.0
2022-08-31,9.46,$-5.25,0.0
2022-05-31,13.88,$-6.25,0.0
2022-02-28,20.33,$-7.03,0.0
2021-11-30,17.62,$-6.56,0.0
2021-08-31,24.14,$-10.02,0.0
2021-05-31,29.56,$-12.03,0.0
2021-02-28,26.75,$-15.09,0.0
2020-11-30,19.98,$-12.37,0.0
2020-08-31,16.48,$-9.42,0.0
2020-05-31,15.74,$-4.61,0.0
2020-02-29,33.46,$1.29,25.89
2019-11-30,44.56,$0.10,428.42
2019-08-31,43.07,$1.77,24.37
2019-05-31,49.47,$1.92,25.72
2019-02-28,55.28,$0.94,58.56
2018-11-30,57.21,$3.08,18.56
2018-08-31,57.87,$3.26,17.76
2018-05-31,58.13,$3.30,17.62
2018-02-28,61.97,$3.25,19.08
2017-11-30,60.4,$3.28,18.41
2017-08-31,63.5,$3.25,19.55
2017-05-31,58.21,$3.20,18.22
2017-02-28,50.51,$2.91,17.33
2016-11-30,46.12,$2.81,16.42
2016-08-31,42.59,$2.79,15.27
2016-05-31,42.23,$2.67,15.8
2016-02-29,42.13,$3.72,11.33
2015-11-30,44.09,$2.89,15.26
2015-08-31,42.71,$2.07,20.61
2015-05-31,39.96,$1.84,21.73
2015-02-28,37.74,$0.76,49.44
2014-11-30,37.67,$1.14,32.97
2014-08-31,32.12,$1.67,19.28
2014-05-31,33.72,$1.24,27.25
2014-02-28,33.2,$0.84,39.6
2013-11-30,30.04,$0.97,30.91
2013-08-31,29.81,$1.25,23.85
2013-05-31,27.16,$1.78,15.27
2013-02-28,29.13,$1.08,27.01
2012-11-30,30.85,$0.92,33.7
2012-08-31,27.49,$1.08,25.4
2012-05-31,25.25,$0.50,50.76
2012-02-29,23.65,$1.18,19.98
2011-11-30,25.71,$1.36,18.96
2011-08-31,25.38,$0.73,34.99
2011-05-31,29.58,$0.99,29.98
2011-02-28,32.32,$1.56,20.73
2010-11-30,31.13,$0.30,104.84
2010-08-31,23.44,$-0.02,0.0
2010-05-31,27.15,$0.13,210.15
2010-02-28,26.88,$-1.01,0.0
2009-11-30,23.87,$-0.05,0.0
