Brown & Brown Price to Free Cash Flow Ratio Historical Data,Brown & Brown Price to Free Cash Flow Ratio Historical Data,Brown & Brown Price to Free Cash Flow Ratio Historical Data,Brown & Brown Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,119.8,,29.28
2024-12-31,102.02,$4.09,24.93
2024-09-30,103.46,$4.19,24.71
2024-06-30,89.17,$3.80,23.49
2024-03-31,87.17,$3.54,24.65
2023-12-31,70.69,$3.73,18.95
2023-09-30,69.3,$3.54,19.57
2023-06-30,68.2,$3.31,20.6
2023-03-31,56.78,$3.04,18.66
2022-12-31,56.23,$3.19,17.65
2022-09-30,59.58,$2.69,22.18
2022-06-30,57.38,$2.70,21.28
2022-03-31,70.95,$2.69,26.35
2021-12-31,68.89,$2.81,24.49
2021-09-30,54.27,$2.76,19.68
2021-06-30,51.92,$2.29,22.71
2021-03-31,44.58,$2.76,16.17
2020-12-31,46.14,$2.36,19.52
2020-09-30,43.97,$2.59,16.95
2020-06-30,39.51,$2.68,14.76
2020-03-31,35.03,$2.41,14.53
2019-12-31,38.12,$2.28,16.7
2019-09-30,34.74,$2.19,15.83
2019-06-30,32.2,$1.98,16.3
2019-03-31,28.29,$1.61,17.58
2018-12-31,26.35,$1.93,13.67
2018-09-30,28.19,$1.62,17.39
2018-06-30,26.37,$1.52,17.3
2018-03-31,24.13,$1.46,16.54
2017-12-31,24.33,$1.52,16.01
2017-09-30,22.72,$1.42,15.97
2017-06-30,20.24,$1.54,13.15
2017-03-31,19.55,$1.65,11.88
2016-12-31,20.95,$1.44,14.5
2016-09-30,17.55,$1.45,12.14
2016-06-30,17.38,$1.39,12.54
2016-03-31,16.54,$1.27,13.02
2015-12-31,14.77,$1.33,11.07
2015-09-30,14.2,$1.38,10.31
2015-06-30,15.02,$1.52,9.91
2015-03-31,15.08,$1.27,11.91
2014-12-31,14.94,$1.31,11.42
2014-09-30,14.54,$1.22,11.93
2014-06-30,13.84,$1.16,11.9
2014-03-31,13.82,$1.08,12.81
2013-12-31,14.06,$1.33,10.58
2013-09-30,14.33,$1.17,12.23
2013-06-30,14.36,$1.12,12.77
2013-03-31,14.23,$1.13,12.64
2012-12-31,11.27,$0.74,15.21
2012-09-30,11.5,$0.74,15.52
2012-06-30,11.99,$0.76,15.79
2012-03-31,10.42,$0.72,14.42
2011-12-31,9.88,$0.81,12.17
2011-09-30,7.74,$0.93,8.33
2011-06-30,11.11,$0.87,12.8
2011-03-31,11.14,$0.94,11.81
2010-12-31,10.3,$1.03,9.99
2010-09-30,8.65,$0.90,9.63
2010-06-30,8.17,$0.70,11.68
2010-03-31,7.62,$0.70,10.85
2009-12-31,7.61,$0.77,9.89
