Gorilla Technology Group Price to Free Cash Flow Ratio Historical Data,Gorilla Technology Group Price to Free Cash Flow Ratio Historical Data,Gorilla Technology Group Price to Free Cash Flow Ratio Historical Data,Gorilla Technology Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.67,,0.0
2022-12-31,8.11,$-1.25,0.0
2022-03-31,10.09,$-2.53,0.0
