Coastal Financial Price to Free Cash Flow Ratio Historical Data,Coastal Financial Price to Free Cash Flow Ratio Historical Data,Coastal Financial Price to Free Cash Flow Ratio Historical Data,Coastal Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,85.03,,4.9
2024-09-30,53.99,$17.36,3.11
2024-06-30,46.14,$17.57,2.63
2024-03-31,38.87,$14.94,2.6
2023-12-31,44.41,$13.95,3.18
2023-09-30,42.91,$12.25,3.5
2023-06-30,37.65,$9.22,4.08
2023-03-31,36.01,$7.66,4.7
2022-12-31,47.52,$4.75,9.99
2022-09-30,39.74,$3.39,11.71
2022-06-30,38.12,$2.83,13.48
2022-03-31,45.75,$2.03,22.52
2021-12-31,50.62,$2.18,23.26
2021-09-30,31.86,$2.17,14.69
2021-06-30,28.56,$1.56,18.36
2021-03-31,26.22,$1.49,17.62
2020-12-31,21.0,$1.14,18.36
2020-09-30,12.25,$1.00,12.26
2020-06-30,14.52,$0.98,14.78
2020-03-31,10.51,$1.16,9.09
2019-12-31,16.47,$1.02,16.12
2019-09-30,15.11,$1.22,12.37
2019-06-30,15.47,$1.60,9.66
