TruGolf Holdings Price to Free Cash Flow Ratio Historical Data,TruGolf Holdings Price to Free Cash Flow Ratio Historical Data,TruGolf Holdings Price to Free Cash Flow Ratio Historical Data,TruGolf Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.4,,0.0
2024-09-30,0.95,$512.00,0.0
2024-06-30,1.12,$415.90,0.0
2024-03-31,1.28,$260.31,0.0
2023-12-31,11.65,$-0.10,0.0
2023-09-30,11.7,$-512.03,0.0
2023-06-30,11.37,$-415.94,0.0
2023-03-31,10.62,$-260.06,0.0
2022-12-31,10.62,$-0.04,0.0
2022-09-30,10.07,$-0.07,0.0
