BARK Price to Free Cash Flow Ratio Historical Data,BARK Price to Free Cash Flow Ratio Historical Data,BARK Price to Free Cash Flow Ratio Historical Data,BARK Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.38,,0.0
2024-12-31,1.84,$-0.03,0.0
2024-09-30,1.63,$0.06,26.68
2024-06-30,1.81,$0.06,30.07
2024-03-31,1.24,$-0.02,0.0
2023-12-31,0.81,$0.10,8.41
2023-09-30,1.2,$0.02,49.79
2023-06-30,1.33,$-0.05,0.0
2023-03-31,1.45,$-0.09,0.0
2022-12-31,1.49,$-0.48,0.0
2022-09-30,1.82,$-0.76,0.0
2022-06-30,1.28,$-0.72,0.0
2022-03-31,3.7,$-1.24,0.0
