36Kr Holdings Price to Free Cash Flow Ratio Historical Data,36Kr Holdings Price to Free Cash Flow Ratio Historical Data,36Kr Holdings Price to Free Cash Flow Ratio Historical Data,36Kr Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.92,,0.0
2023-12-31,11.2,$-8.64,0.0
2023-09-30,18.79,$-0.43,0.0
2023-06-30,17.4,$-0.43,0.0
2023-03-31,22.0,$-0.43,0.0
2022-12-31,20.64,$-0.43,0.0
2022-09-30,18.55,$14.61,1.27
2022-06-30,20.8,$14.61,1.42
2022-03-31,22.8,$14.61,1.56
2021-12-31,21.1,$14.61,1.44
2021-09-30,32.0,$-1.45,0.0
2021-06-30,49.6,$-1.45,0.0
2021-03-31,67.0,$-1.45,0.0
2020-12-31,55.8,$-1.45,0.0
