Chemed Price to Free Cash Flow Ratio Historical Data,Chemed Price to Free Cash Flow Ratio Historical Data,Chemed Price to Free Cash Flow Ratio Historical Data,Chemed Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,601.61,,24.61
2024-12-31,529.8,$24.45,21.67
2024-09-30,600.43,$20.81,28.86
2024-06-30,541.62,$16.83,32.18
2024-03-31,640.79,$19.87,32.25
2023-12-31,583.32,$18.03,32.35
2023-09-30,518.08,$17.06,30.37
2023-06-30,539.56,$18.52,29.13
2023-03-31,535.28,$13.91,38.47
2022-12-31,507.72,$16.88,30.08
2022-09-30,433.91,$14.56,29.81
2022-06-30,466.18,$18.45,25.27
2022-03-31,502.72,$16.13,31.16
2021-12-31,524.65,$15.74,33.34
2021-09-30,460.93,$17.04,27.05
2021-06-30,469.86,$17.50,26.85
2021-03-31,455.01,$27.61,16.48
2020-12-31,526.63,$26.35,19.98
2020-09-30,474.63,$25.04,18.96
2020-06-30,445.4,$25.12,17.73
2020-03-31,427.46,$15.61,27.39
2019-12-31,433.11,$15.02,28.84
2019-09-30,411.4,$14.33,28.72
2019-06-30,355.25,$13.06,27.2
2019-03-31,314.82,$14.44,21.8
2018-12-31,278.38,$13.94,19.97
2018-09-30,313.76,$9.00,34.88
2018-06-30,315.65,$7.14,44.23
2018-03-31,267.41,$5.42,49.34
2017-12-31,237.91,$5.87,40.56
2017-09-30,197.56,$8.18,24.16
2017-06-30,199.7,$7.03,28.41
2017-03-31,178.14,$9.50,18.75
2016-12-31,156.19,$5.70,27.42
2016-09-30,137.1,$8.51,16.11
2016-06-30,132.23,$7.57,17.46
2016-03-31,131.16,$6.84,19.16
2015-12-31,144.79,$7.31,19.81
2015-09-30,128.8,$7.40,17.4
2015-06-30,126.3,$5.22,24.2
2015-03-31,114.83,$5.05,22.74
2014-12-31,101.43,$3.74,27.13
2014-09-30,98.57,$1.32,74.87
2014-06-30,89.58,$4.15,21.57
2014-03-31,85.31,$5.30,16.09
2013-12-31,72.9,$6.54,11.15
2013-09-30,67.85,$8.69,7.81
2013-06-30,68.54,$6.94,9.87
2013-03-31,75.49,$5.22,14.46
2012-12-31,64.59,$4.99,12.94
2012-09-30,65.06,$5.52,11.79
2012-06-30,56.59,$7.11,7.96
2012-03-31,58.52,$4.86,12.04
2011-12-31,47.69,$6.91,6.9
2011-09-30,51.04,$4.94,10.33
2011-06-30,60.67,$3.93,15.43
2011-03-31,61.55,$4.49,13.71
2010-12-31,58.56,$2.62,22.34
2010-09-30,52.41,$4.85,10.82
2010-06-30,50.13,$4.88,10.27
2010-03-31,49.79,$5.21,9.56
2009-12-31,43.82,$6.13,7.15
