Hamilton Beach Brands Holding Price to Free Cash Flow Ratio Historical Data,Hamilton Beach Brands Holding Price to Free Cash Flow Ratio Historical Data,Hamilton Beach Brands Holding Price to Free Cash Flow Ratio Historical Data,Hamilton Beach Brands Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.66,,4.41
2024-12-31,16.83,$4.46,3.78
2024-09-30,30.25,$3.70,8.17
2024-06-30,17.02,$4.62,3.68
2024-03-31,24.12,$4.94,4.88
2023-12-31,17.21,$6.06,2.84
2023-09-30,12.13,$7.32,1.66
2023-06-30,9.35,$5.40,1.73
2023-03-31,9.8,$3.54,2.77
2022-12-31,11.76,$-0.41,0.0
2022-09-30,11.0,$-1.62,0.0
2022-06-30,11.6,$-1.48,0.0
2022-03-31,10.76,$-0.81,0.0
2021-12-31,13.19,$0.43,30.54
2021-09-30,14.29,$-2.62,0.0
2021-06-30,20.19,$-3.70,0.0
2021-03-31,16.37,$-1.76,0.0
2020-12-31,15.73,$-2.28,0.0
2020-09-30,17.38,$1.12,15.59
2020-06-30,10.59,$3.62,2.92
2020-03-31,8.38,$1.91,4.38
2019-12-31,16.71,$-0.28,0.0
2019-09-30,14.08,$2.66,5.3
2019-06-30,16.48,$2.75,6.0
2019-03-31,18.48,$0.80,23.18
2018-12-31,20.13,$0.74,27.11
2018-09-30,18.83,$-2.31,0.0
