Assembly Biosciences Price to Free Cash Flow Ratio Historical Data,Assembly Biosciences Price to Free Cash Flow Ratio Historical Data,Assembly Biosciences Price to Free Cash Flow Ratio Historical Data,Assembly Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.69,,1.24
2024-09-30,15.14,$8.59,1.76
2024-06-30,13.72,$7.15,1.92
2024-03-31,13.3,$7.08,1.88
2023-12-31,9.84,$4.92,2.0
2023-09-30,10.62,$-16.44,0.0
2023-06-30,13.8,$-18.20,0.0
2023-03-31,10.08,$-19.61,0.0
2022-12-31,15.6,$-20.96,0.0
2022-09-30,19.68,$-22.62,0.0
2022-06-30,25.2,$-21.75,0.0
2022-03-31,24.72,$-22.63,0.0
2021-12-31,27.96,$-26.53,0.0
2021-09-30,41.76,$-28.68,0.0
2021-06-30,46.56,$-21.85,0.0
2021-03-31,55.2,$-23.60,0.0
2020-12-31,72.6,$-21.49,0.0
2020-09-30,197.28,$-21.90,0.0
2020-06-30,279.84,$-33.18,0.0
2020-03-31,177.96,$-35.90,0.0
2019-12-31,245.52,$-39.14,0.0
2019-09-30,117.96,$-41.19,0.0
2019-06-30,161.88,$-37.57,0.0
2019-03-31,236.28,$-37.05,0.0
2018-12-31,271.44,$-34.38,0.0
2018-09-30,445.68,$-30.35,0.0
2018-06-30,470.52,$-33.45,0.0
2018-03-31,589.68,$-32.84,0.0
2017-12-31,543.0,$0.67,806.95
2017-09-30,419.04,$-0.08,0.0
2017-06-30,247.8,$2.36,104.99
2017-03-31,305.88,$6.30,48.53
2016-12-31,145.8,$-24.41,0.0
2016-09-30,86.52,$-21.71,0.0
2016-06-30,66.6,$-19.79,0.0
2016-03-31,60.24,$-16.78,0.0
2015-12-31,90.12,$-14.34,0.0
2015-09-30,114.72,$-18.68,0.0
2015-06-30,231.12,$-12.46,0.0
2015-03-31,158.88,$-15.83,0.0
2014-12-31,94.32,$-25.94,0.0
2014-09-30,98.28,$-34.19,0.0
2014-06-30,78.6,$-50.66,0.0
2014-03-31,76.5,$-53.81,0.0
2013-12-31,229.2,$-55.10,0.0
2013-09-30,173.4,$-53.30,0.0
2013-06-30,144.0,$-62.52,0.0
2013-03-31,179.4,$-86.77,0.0
2012-12-31,129.6,$-100.85,0.0
2012-09-30,214.8,$-196.38,0.0
2012-06-30,256.2,$-179.38,0.0
2012-03-31,598.2,$-170.70,0.0
2011-12-31,480.48,$-156.59,0.0
2011-09-30,541.8,$-549.68,0.0
