Beasley Broadcast Price to Free Cash Flow Ratio Historical Data,Beasley Broadcast Price to Free Cash Flow Ratio Historical Data,Beasley Broadcast Price to Free Cash Flow Ratio Historical Data,Beasley Broadcast Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.09,,0.0
2024-09-30,10.77,$-3.90,0.0
2024-06-30,13.15,$-4.22,0.0
2024-03-31,15.6,$-6.78,0.0
2023-12-31,17.56,$-5.93,0.0
2023-09-30,17.43,$-1.51,0.0
2023-06-30,20.4,$-3.02,0.0
2023-03-31,16.4,$-3.49,0.0
2022-12-31,18.41,$-1.50,0.0
2022-09-30,21.6,$-2.97,0.0
2022-06-30,25.6,$-5.52,0.0
2022-03-31,35.2,$-5.72,0.0
2021-12-31,38.0,$-4.13,0.0
2021-09-30,53.4,$-4.42,0.0
2021-06-30,57.8,$-1.54,0.0
2021-03-31,56.6,$-0.08,0.0
2020-12-31,29.8,$-2.30,0.0
2020-09-30,24.8,$-7.41,0.0
2020-06-30,48.6,$4.49,10.82
2020-03-31,37.2,$3.51,10.59
2019-12-31,60.25,$8.61,7.0
2019-09-30,59.49,$17.35,3.43
2019-06-30,60.8,$13.16,4.62
2019-03-31,73.96,$16.08,4.6
2018-12-31,68.82,$14.66,4.69
2018-09-30,124.85,$15.63,7.99
2018-06-30,201.2,$17.09,11.78
2018-03-31,202.12,$16.06,12.59
2017-12-31,238.61,$17.15,13.92
2017-09-30,207.65,$12.92,16.07
2017-06-30,173.28,$11.90,14.57
2017-03-31,204.19,$10.85,18.81
2016-12-31,107.88,$11.87,9.09
2016-09-30,101.05,$14.64,6.9
2016-06-30,72.71,$14.57,4.99
2016-03-31,60.04,$15.90,3.78
2015-12-31,60.63,$12.14,4.99
2015-09-30,67.46,$9.93,6.8
2015-06-30,76.41,$11.60,6.59
2015-03-31,82.01,$10.40,7.89
2014-12-31,82.74,$12.08,6.85
2014-09-30,86.06,$13.72,6.27
2014-06-30,101.1,$13.76,7.35
2014-03-31,143.7,$14.43,9.96
2013-12-31,137.16,$14.99,9.15
2013-09-30,135.84,$14.34,9.47
2013-06-30,131.0,$14.75,8.88
2013-03-31,92.23,$15.02,6.14
2012-12-31,76.44,$16.44,4.65
2012-09-30,75.02,$16.64,4.51
2012-06-30,90.54,$17.04,5.31
2012-03-31,66.14,$17.91,3.69
2011-12-31,48.42,$16.95,2.86
2011-09-30,58.42,$16.67,3.5
2011-06-30,64.72,$14.79,4.38
2011-03-31,112.83,$14.10,8.0
2010-12-31,92.08,$13.51,6.81
2010-09-30,81.32,$25.55,3.18
2010-06-30,74.86,$23.95,3.13
2010-03-31,63.8,$23.48,2.72
2009-12-31,54.88,$23.02,2.38
