Gladstone Land Price to Free Cash Flow Ratio Historical Data,Gladstone Land Price to Free Cash Flow Ratio Historical Data,Gladstone Land Price to Free Cash Flow Ratio Historical Data,Gladstone Land Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.67,,4.13
2024-12-31,10.85,$2.59,4.2
2024-09-30,13.8,$2.59,5.33
2024-06-30,13.45,$2.56,5.26
2024-03-31,12.97,$2.81,4.62
2023-12-31,13.91,$1.02,13.68
2023-09-30,13.56,$1.02,13.33
2023-06-30,15.37,$0.07,234.67
2023-03-31,15.6,$-1.18,0.0
2022-12-31,17.06,$-1.11,0.0
2022-09-30,16.71,$-5.99,0.0
2022-06-30,20.33,$-6.73,0.0
2022-03-31,33.25,$-8.51,0.0
2021-12-31,30.69,$-8.58,0.0
2021-09-30,20.59,$-12.32,0.0
2021-06-30,21.63,$-12.26,0.0
2021-03-31,16.36,$-10.75,0.0
2020-12-31,12.99,$-11.11,0.0
2020-09-30,13.2,$-5.76,0.0
2020-06-30,13.82,$-10.76,0.0
2020-03-31,10.23,$-12.41,0.0
2019-12-31,11.08,$-12.28,0.0
2019-09-30,10.05,$-12.30,0.0
2019-06-30,9.63,$-7.30,0.0
2019-03-31,10.45,$-5.09,0.0
2018-12-31,9.38,$-5.38,0.0
2018-09-30,9.97,$-3.21,0.0
2018-06-30,10.13,$-4.26,0.0
2018-03-31,9.56,$-5.79,0.0
2017-12-31,10.52,$-10.27,0.0
2017-09-30,10.56,$-11.18,0.0
2017-06-30,8.96,$-11.96,0.0
2017-03-31,8.42,$-11.98,0.0
2016-12-31,8.44,$-8.70,0.0
2016-09-30,7.85,$-8.65,0.0
2016-06-30,8.11,$-7.91,0.0
2016-03-31,7.3,$-7.65,0.0
2015-12-31,6.18,$-8.56,0.0
2015-09-30,6.47,$-11.19,0.0
2015-06-30,7.2,$-12.27,0.0
2015-03-31,8.3,$-12.44,0.0
2014-12-31,7.3,$-9.88,0.0
2014-09-30,8.12,$-10.96,0.0
2014-06-30,8.73,$-7.11,0.0
2014-03-31,9.43,$-5.83,0.0
2013-12-31,10.73,$-6.30,0.0
