Hyperscale Data Price to Free Cash Flow Ratio Historical Data,Hyperscale Data Price to Free Cash Flow Ratio Historical Data,Hyperscale Data Price to Free Cash Flow Ratio Historical Data,Hyperscale Data Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.37,,0.0
2024-09-30,8.04,"$1,434.45",0.01
2024-06-30,10.14,$-615.76,0.0
2024-03-31,13.2,$-652.16,0.0
2023-12-31,81.81,$-473.07,0.0
2023-09-30,287.88,"$-4,290.94",0.0
2023-06-30,4506.25,"$-2,250.05",0.0
2023-03-31,27431.25,"$-2,241.49",0.0
2022-12-31,32156.25,"$-2,429.63",0.0
2022-09-30,48037.5,"$-3,426.58",0.0
2022-06-30,69693.75,"$-3,423.43",0.0
2022-03-31,221313.74,"$-3,387.82",0.0
2021-12-31,312374.99,"$-3,368.61",0.0
2021-09-30,637874.98,$-2.07,0.0
2021-06-30,740249.97,$-1.32,0.0
2021-03-31,863624.97,$-1.41,0.0
2020-12-31,1141874.96,$-1.22,0.0
2020-09-30,527624.98,$-2.58,0.0
2020-06-30,643124.98,$-1.80,0.0
2020-03-31,184353.74,$7.79,23669.39
2019-12-31,312374.99,$-7.24,0.0
2019-09-30,548624.98,$-50.18,0.0
2019-06-30,3149999.89,$-54.08,0.0
2019-03-31,3042899.89,$-276.36,0.0
2018-12-31,21524999.25,$-266.79,0.0
2018-09-30,87884996.92,$-228.97,0.0
2018-06-30,100000000.0,$-225.70,0.0
2018-03-31,100000000.0,$-12.92,0.0
2017-12-31,100000000.0,$-7.22,0.0
2017-09-30,100000000.0,$-0.19,0.0
2017-06-30,100000000.0,$-0.16,0.0
2017-03-31,100000000.0,$-0.09,0.0
2016-12-31,100000000.0,$-0.06,0.0
2016-09-30,100000000.0,$-0.01,0.0
2016-06-30,84881997.03,$-0.06,0.0
2016-03-31,86099996.99,$-0.14,0.0
2015-12-31,100000000.0,$-0.12,0.0
2015-09-30,100000000.0,$-0.03,0.0
2015-06-30,100000000.0,$-0.03,0.0
2015-03-31,100000000.0,$0.08,1221001221.0
2014-12-31,100000000.0,$0.08,1237623762.38
2014-09-30,100000000.0,$0.03,3636363636.36
2014-06-30,100000000.0,$0.10,965250965.25
2014-03-31,100000000.0,$0.01,0.0
2013-12-31,100000000.0,$-0.02,0.0
2013-09-30,100000000.0,$-0.05,0.0
2013-06-30,100000000.0,$-0.08,0.0
2013-03-31,100000000.0,$-0.06,0.0
2012-12-31,100000000.0,$0.01,0.0
2012-09-30,100000000.0,$-0.00,0.0
2012-06-30,100000000.0,$0.06,1712328767.12
2012-03-31,100000000.0,$0.06,1642036124.79
2011-12-31,100000000.0,$0.08,1206272617.61
2011-09-30,100000000.0,$0.04,2732240437.16
2011-06-30,100000000.0,$0.04,2444987775.06
2011-03-31,100000000.0,$0.03,3125000000.0
2010-12-31,100000000.0,$-0.07,0.0
2010-09-30,100000000.0,$0.06,1709401709.4
2010-06-30,100000000.0,$0.05,1980198019.8
2010-03-31,100000000.0,$0.13,770416024.65
2009-12-31,100000000.0,$0.06,1697792869.27
