Climb Global Solutions Price to Free Cash Flow Ratio Historical Data,Climb Global Solutions Price to Free Cash Flow Ratio Historical Data,Climb Global Solutions Price to Free Cash Flow Ratio Historical Data,Climb Global Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,115.8,,18.29
2024-12-31,126.75,$6.33,20.02
2024-09-30,99.4,$3.86,25.74
2024-06-30,62.6,$6.64,9.42
2024-03-31,70.42,$1.64,42.96
2023-12-31,54.34,$8.44,6.44
2023-09-30,42.46,$6.76,6.28
2023-06-30,47.04,$6.38,7.37
2023-03-31,52.2,$8.07,6.47
2022-12-31,30.78,$0.48,64.74
2022-09-30,26.1,$0.80,32.61
2022-06-30,32.1,$1.44,22.33
2022-03-31,33.21,$1.23,26.91
2021-12-31,33.56,$1.04,32.19
2021-09-30,25.6,$2.84,9.01
2021-06-30,23.67,$0.05,493.13
2021-03-31,23.6,$11.29,2.09
2020-12-31,17.81,$8.85,2.01
2020-09-30,21.33,$8.97,2.38
2020-06-30,23.6,$10.16,2.32
2020-03-31,11.64,$0.19,60.54
2019-12-31,14.59,$0.71,20.52
2019-09-30,13.37,$1.57,8.5
2019-06-30,9.92,$0.48,20.51
2019-03-31,9.66,$2.56,3.78
2018-12-31,8.54,$3.13,2.73
2018-09-30,10.86,$2.01,5.4
2018-06-30,11.52,$1.22,9.43
2018-03-31,10.56,$0.01,0.0
2017-12-31,13.37,$-0.55,0.0
2017-09-30,10.74,$-2.65,0.0
2017-06-30,15.15,$-1.36,0.0
2017-03-31,14.6,$-0.84,0.0
2016-12-31,14.38,$-0.35,0.0
2016-09-30,13.51,$1.92,7.02
2016-06-30,13.63,$2.77,4.92
2016-03-31,12.77,$1.91,6.7
2015-12-31,13.57,$1.72,7.87
2015-09-30,12.46,$2.43,5.14
2015-06-30,14.39,$2.22,6.48
2015-03-31,12.67,$3.18,3.98
2014-12-31,12.25,$1.16,10.6
2014-09-30,11.15,$0.58,19.1
2014-06-30,10.72,$0.98,10.96
2014-03-31,13.71,$0.37,37.14
2013-12-31,9.25,$2.24,4.14
2013-09-30,8.74,$0.96,9.08
2013-06-30,7.71,$0.91,8.44
2013-03-31,7.81,$0.59,13.19
2012-12-31,7.2,$0.68,10.54
2012-09-30,7.98,$1.11,7.21
2012-06-30,7.76,$0.68,11.39
2012-03-31,8.88,$0.77,11.49
2011-12-31,7.53,$0.76,9.92
2011-09-30,6.09,$0.74,8.18
2011-06-30,8.14,$-0.12,0.0
2011-03-31,8.15,$0.69,11.8
2010-12-31,6.61,$0.60,11.02
2010-09-30,5.8,$0.90,6.45
2010-06-30,5.17,$1.06,4.88
2010-03-31,5.13,$0.54,9.58
2009-12-31,4.39,$0.19,23.7
