Dorchester Minerals Price to Free Cash Flow Ratio Historical Data,Dorchester Minerals Price to Free Cash Flow Ratio Historical Data,Dorchester Minerals Price to Free Cash Flow Ratio Historical Data,Dorchester Minerals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.22,,9.53
2024-12-31,33.33,$3.17,10.51
2024-09-30,29.23,$3.50,8.36
2024-06-30,29.22,$3.26,8.96
2024-03-31,31.2,$3.30,9.45
2023-12-31,28.56,$3.61,7.92
2023-09-30,25.32,$3.52,7.2
2023-06-30,25.55,$3.89,6.57
2023-03-31,25.0,$4.15,6.02
2022-12-31,24.0,$3.91,6.14
2022-09-30,19.24,$3.68,5.22
2022-06-30,17.77,$2.99,5.95
2022-03-31,18.79,$2.47,7.61
2021-12-31,13.94,$2.01,6.93
2021-09-30,13.16,$1.58,8.34
2021-06-30,11.24,$1.37,8.19
2021-03-31,8.92,$1.11,8.05
2020-12-31,6.99,$1.31,5.32
2020-09-30,6.41,$1.44,4.45
2020-06-30,7.77,$1.68,4.61
2020-03-31,5.42,$1.92,2.83
2019-12-31,11.12,$1.95,5.7
2019-09-30,10.34,$2.08,4.97
2019-06-30,9.88,$1.95,5.07
2019-03-31,9.62,$2.03,4.73
2018-12-31,7.48,$1.94,3.86
2018-09-30,10.42,$1.84,5.65
2018-06-30,10.23,$1.69,6.07
2018-03-31,7.81,$1.48,5.26
2017-12-31,7.2,$1.36,5.28
2017-09-30,6.99,$1.18,5.9
2017-06-30,6.57,$1.18,5.59
2017-03-31,7.68,$1.11,6.95
2016-12-31,7.74,$0.92,8.39
2016-09-30,6.68,$0.87,7.65
2016-06-30,6.14,$0.82,7.53
2016-03-31,4.8,$0.72,6.66
2015-12-31,4.09,$0.90,4.53
2015-09-30,5.9,$1.08,5.46
2015-06-30,8.64,$1.35,6.4
2015-03-31,9.07,$1.68,5.41
2014-12-31,10.0,$1.88,5.32
2014-09-30,11.39,$1.99,5.74
2014-06-30,11.59,$1.99,5.83
2014-03-31,9.76,$1.89,5.16
2013-12-31,9.51,$1.84,5.17
2013-09-30,8.58,$1.79,4.8
2013-06-30,8.66,$1.68,5.14
2013-03-31,8.04,$1.74,4.61
2012-12-31,6.91,$1.84,3.76
2012-09-30,7.39,$1.86,3.98
2012-06-30,7.21,$1.97,3.66
2012-03-31,8.43,$1.93,4.38
2011-12-31,7.13,$1.81,3.94
2011-09-30,7.35,$1.72,4.28
2011-06-30,8.19,$1.73,4.73
2011-03-31,8.77,$1.71,5.13
2010-12-31,8.13,$1.73,4.71
2010-09-30,7.82,$1.72,4.55
2010-06-30,7.31,$1.49,4.9
2010-03-31,5.96,$1.35,4.42
2009-12-31,5.91,$1.29,4.59
