Beauty Health Price to Free Cash Flow Ratio Historical Data,Beauty Health Price to Free Cash Flow Ratio Historical Data,Beauty Health Price to Free Cash Flow Ratio Historical Data,Beauty Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.31,,20.0
2024-12-31,1.59,$0.07,24.27
2024-09-30,1.44,$-0.11,0.0
2024-06-30,1.92,$-0.06,0.0
2024-03-31,4.44,$0.06,75.51
2023-12-31,3.11,$-0.07,0.0
2023-09-30,6.02,$-0.09,0.0
2023-06-30,8.37,$-0.45,0.0
2023-03-31,12.63,$-0.83,0.0
2022-12-31,9.1,$-0.84,0.0
2022-09-30,11.79,$-0.91,0.0
2022-06-30,12.86,$-0.54,0.0
2022-03-31,16.88,$-0.71,0.0
2021-12-31,24.16,$-0.43,0.0
2021-09-30,25.97,$-0.29,0.0
