Luxfer Holdings Price to Free Cash Flow Ratio Historical Data,Luxfer Holdings Price to Free Cash Flow Ratio Historical Data,Luxfer Holdings Price to Free Cash Flow Ratio Historical Data,Luxfer Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.89,,7.89
2024-12-31,13.09,$1.51,8.69
2024-09-30,12.82,$1.20,10.67
2024-06-30,11.35,$1.17,9.73
2024-03-31,10.02,$1.32,7.61
2023-12-31,8.5,$0.63,13.59
2023-09-30,12.25,$0.68,17.89
2023-06-30,13.23,$0.40,32.95
2023-03-31,15.58,$0.18,88.33
2022-12-31,12.54,$0.41,30.57
2022-09-30,13.14,$-0.58,0.0
2022-06-30,13.58,$-0.35,0.0
2022-03-31,14.97,$-0.26,0.0
2021-12-31,17.1,$0.61,28.19
2021-09-30,17.28,$1.36,12.69
2021-06-30,19.47,$2.04,9.52
2021-03-31,18.51,$2.23,8.3
2020-12-31,14.18,$1.49,9.54
2020-09-30,10.74,$1.74,6.18
2020-06-30,12.0,$0.73,16.33
2020-03-31,11.88,$-0.06,0.0
2019-12-31,15.44,$-0.22,0.0
2019-09-30,12.9,$-0.18,0.0
2019-06-30,20.18,$0.38,53.29
2019-03-31,20.45,$1.12,18.31
2018-12-31,14.34,$1.78,8.04
2018-09-30,18.81,$1.38,13.61
2018-06-30,14.04,$1.15,12.23
2018-03-31,10.19,$1.05,9.71
2017-12-31,12.47,$1.06,11.74
2017-09-30,9.83,$1.02,9.64
2017-06-30,10.1,$0.83,12.21
2017-03-31,9.6,$0.77,12.45
2016-12-31,8.6,$0.49,17.53
2016-09-30,9.15,$0.61,15.07
2016-06-30,9.5,$0.88,10.75
2016-03-31,8.38,$1.17,7.15
2015-12-31,7.77,$1.38,5.65
2015-09-30,8.52,$1.41,6.04
2015-06-30,10.26,$1.20,8.56
2015-03-31,10.56,$0.36,29.64
2014-12-31,11.79,$0.09,125.13
2014-09-30,13.63,$-0.35,0.0
2014-06-30,14.96,$-0.24,0.0
2014-03-31,15.46,$0.20,79.27
2013-12-31,16.47,$0.46,35.57
2013-09-30,12.55,$2.35,5.34
